Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Ann. Sharpe,Ann. Sharpe (rf=0),Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,DCC,0.1392993289981161,0.1597900227729107,0.145904710688265,1.095166989599894,0.8006622033992684,0.8965507719387928,1.1258574766407652,-0.3542191450839937,0.393257481791632,-0.0238302582486648,-0.5250632323897461,15.277343019866445
ERC,GARCH,0.1401982982442842,0.1600303103927031,0.1569439038251365,1.0196656671099853,0.8046343865978642,0.90037982143563,1.1311991050905257,-0.3524262969661398,0.3978088452853281,-0.0238665691453575,-0.5327463883669307,14.906762444813394
ERC,Historical,0.143889233594038,0.1627314819092768,0.1773473828192288,0.9175860355105998,0.8138641757575672,0.908017653660949,1.145015593542536,-0.3671902468968733,0.391865619552934,-0.0241868374178675,-0.5523289205738744,16.442004806533348
HRP,DCC,0.1308627354948004,0.1499053850048086,0.1359052056897522,1.1030142976790482,0.7935768840403996,0.8958020750595591,1.1129991041294949,-0.3310058087443375,0.3953487583532901,-0.0224223969273525,-0.551765821754375,14.517869365836082
HRP,GARCH,0.131556898984503,0.1499525845733562,0.1459916944262336,1.0271309279797696,0.7974599765311339,0.8996538568705834,1.118750294926055,-0.3303581055709,0.3982251283259913,-0.0224432825162237,-0.5382104195296457,14.127045327513311
HRP,Historical,0.1354102325721371,0.1545932959702149,0.1654415376989443,0.9344285487211194,0.800151037598689,0.8992697090656439,1.1231674052848315,-0.3565415365268009,0.3797880995611811,-0.023029195805405,-0.5655765670491726,16.882616167290784
MVP,DCC,0.1104959931263396,0.1190187251618013,0.0937745506119962,1.2692006987509443,0.8118122341339689,0.9405006041653811,1.132527790784514,-0.2843910994047166,0.3885353422017364,-0.0172035284058082,-0.7579993503833138,17.233866830671147
MVP,GARCH,0.1106518326095482,0.1195629444965281,0.0991473544857017,1.2059115960957945,0.8098371137364256,0.9379472030563697,1.1296490498037344,-0.2838305882149342,0.3898516833772538,-0.0172345121477645,-0.7868914434481596,16.325017787773014
MVP,Historical,0.0998929779435222,0.1243265036666465,0.1150837343784305,1.0803134286364302,0.7053445625355567,0.8284589645772268,0.9712905972064896,-0.3158355308440718,0.3162816345474426,-0.0180157555290091,-0.9788435353711684,20.55256526060967
Naive,,0.1557456103423553,0.1777997288644518,0.1982356966483594,0.8969107576010491,0.8173907479652827,0.9035513738261003,1.1544094677793322,-0.3831841284716532,0.4064510995368038,-0.02641900748459,-0.4596776098975781,14.672042480829488
