Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Avg QLIKE,Avg Cov RMSE,ERC RC RMSE,Avg L1 Dist,Avg Turnover,Ann. Sharpe,Ann. Sharpe (rf=0),Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,DCC,0.0743549099583598,0.1703562528064015,0.1420249689315944,1.2025577464644908,-161.9629670879016,0.0002368517572989,0.326110992990459,0.6105133506675607,0.044456773528426,0.3910794687793433,0.5064824438466374,0.5437794693931921,-0.5436137796290491,0.1367789278798231,-0.0259538205899358,-0.3379864134744998,13.20050724902929
ERC,GARCH,0.0747161700404017,0.1703845089630638,0.1418476113286687,1.2042541300894194,-161.80500261356192,0.0002366962583808,0.3149392473747147,0.610515627479799,0.0434674768087869,0.3930163365905498,0.5084001464901264,0.5465479455378414,-0.5434568900726698,0.1374831590237284,-0.0259513047930445,-0.3374090849166561,13.20440332454424
ERC,Historical,0.0777345118818975,0.1723870674254317,0.1568855480509623,1.1012503683369914,-161.49392545420454,0.0002583801429611,0.465478852776309,0.6025605581103289,0.0070859070489659,0.4066845183198014,0.5207312900923446,0.5677278896532014,-0.5475418895232926,0.1419699814192767,-0.0262009405209708,-0.2829891412721593,12.742437152305923
HRP,DCC,0.0717306654753811,0.1578632877236772,0.129126782338227,1.226060810082361,-161.9629670879016,0.0002368517572989,,1.463107359500657,0.1256872254042678,0.3935377425833135,0.518070082287514,0.5444228591534489,-0.5029474443077249,0.1426205984088731,-0.0241491393875712,-0.4212585057286806,14.521236962190384
HRP,GARCH,0.0729973932179497,0.1581033299919149,0.1290257030912071,1.2289315690171505,-161.80500261356192,0.0002366962583808,,1.4631599731186988,0.1076066717777394,0.4006579385806521,0.5250014090502456,0.5542591887288563,-0.5030860499393652,0.1450992195604465,-0.0241607890348562,-0.4269997697128528,14.682994857504912
HRP,Historical,0.0784067898707374,0.1615202279193037,0.1460328214329926,1.108415836864484,-161.49392545420454,0.0002583801429611,,1.462631629982978,0.0328170700060117,0.4266334148701292,0.5483539177098872,0.5953150551395375,-0.5115736390959293,0.1532658915132934,-0.0245619160438974,-0.2849778821249819,13.826609497441948
MVP,DCC,0.0649051005591658,0.1370376852274914,0.1026720374170126,1.339143299916462,-161.9629670879016,0.0002368517572989,,1.5101854756939965,0.3004562485780206,0.3842796567374686,0.5277222625811478,0.5279107738471398,-0.4143243947179923,0.1566528579697634,-0.0207986011177896,-0.5797002417372199,18.306253635375665
MVP,GARCH,0.0639038611654383,0.1373435004408006,0.1025963144146831,1.3435418899121847,-161.80500261356192,0.0002366962583808,,1.5114233495875498,0.2990650117921293,0.3769109256615675,0.5200316319466805,0.5167970638852539,-0.4139850593578272,0.1543627232938451,-0.0208272817190087,-0.643650797188156,19.04057905335753
MVP,Historical,0.0683777939842069,0.1318547746511932,0.117988053812586,1.1192159149816656,-161.49392545420454,0.0002583801429611,,1.4955711729081669,0.0256022644010083,0.4186250742173192,0.5677121996946279,0.5841635894799265,-0.3748015042164232,0.1824373520782971,-0.0197728552139587,-0.2260397828292584,16.208998542981373
Naive,,0.0798015325951921,0.1864642788695222,0.171619090847999,1.0888158610087126,-161.49392545420454,0.0002583801429611,,,0.0063450671831966,0.3998417925161986,0.5052789336580654,0.5594184223682646,-0.5723881257469509,0.1394185675865539,-0.0282035683514803,-0.2607676799505921,11.249501576628582
