Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Ann. Sharpe,Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,GARCH,0.07528396132134896,0.1712757803524293,0.1460405739757363,1.172795858641898,0.43954820212431256,0.6153869339341355,-0.5512728400601632,0.13656388606616796,-0.026067653795195697,-0.2705442204859752,12.849044448502873
ERC,Historical,0.07844266759606233,0.1725951691841713,0.15681528587044513,1.1006272011439173,0.45448935776619814,0.6373082762816022,-0.5474290964888805,0.1432928357282808,-0.026202675296427846,-0.26897598582379983,12.67011492295022
HRP,GARCH,0.07198111307184574,0.1601186854733702,0.13337438370182803,1.2005205274749893,0.44954848872911296,0.6279731518974557,-0.523960964809311,0.13737877037851925,-0.024429056609893838,-0.2837105827471829,14.24447741052921
HRP,Historical,0.07859340726254715,0.16176748611187144,0.1459593433640394,1.108305110063456,0.4858418038850856,0.6810209099346507,-0.5141405440583131,0.1528636637799045,-0.024604049912759676,-0.27864234041829333,13.855867049455107
MVP,GARCH,0.05773204365163398,0.14052325096817192,0.10475626738671542,1.3414304888262203,0.4108362370915409,0.5730643748207106,-0.45805818637107587,0.12603648481650512,-0.021238670028797077,-0.18025547848031884,19.661014145182044
MVP,Historical,0.06865868276572074,0.13303203517267534,0.1180420368145758,1.1269886454233784,0.5161063850267485,0.7275162709027846,-0.37371745505525333,0.18371815883089992,-0.01980712674562313,-0.09010330206541864,17.747959298117536
Naive,N/A,0.08015483744723828,0.1865494406075576,0.1715221653465432,1.0876112730424858,0.42967074672638284,0.6033669947856318,-0.572388125746951,0.14003581458409606,-0.028203568351480385,-0.2605318648015724,11.240250057837503
