Model,Covariance Type,Window Index,Mean Return,Forecasted Std,RC RMSE
ERC,GARCH,9,-0.011476859294012542,0.008327811824923438,0.056143389612219374
MVP,DCC,9,-0.006701227570391044,0.007034973222972983,
HRP,DCC,9,-0.010440614515251134,0.007786590912779881,
ERC,DCC,9,-0.011477205211609998,0.008327750805377563,0.056144747758317626
Naive,N/A,10,0.001776638690867527,0.009054874627970855,
MVP,Historical,10,0.0008585882128444577,0.00707656523699241,
HRP,Historical,10,0.0010589048443678806,0.007831383278596655,
ERC,Historical,10,0.001513321227943898,0.00837559562746477,0.4606692526784166
MVP,GARCH,10,0.0009536638947760245,0.007048306007898987,
HRP,GARCH,10,0.0010948649846547198,0.0078109262893687565,
ERC,GARCH,10,0.0015258751303681706,0.00835880846605091,0.4554729094233102
MVP,DCC,10,0.0009550473075323751,0.007048358191082048,
HRP,DCC,10,0.0010947162708347946,0.007811005672271288,
ERC,DCC,10,0.0015257973809654768,0.008359061056657397,0.455474316821742
Naive,N/A,11,-0.004096170101910879,0.009054895166587163,
MVP,Historical,11,0.0009007870658737094,0.0070765176598022225,
HRP,Historical,11,-0.0016833769427060385,0.007832003413194047,
ERC,Historical,11,-0.0028352712796964052,0.00837563147686258,0.28051960950680005
MVP,GARCH,11,0.0013038683955608477,0.007068926302279728,
HRP,GARCH,11,-0.0015307236985103723,0.007828541678136498,
ERC,GARCH,11,-0.0027554323426581817,0.008373870084085293,0.28857401357605983
MVP,DCC,11,0.0013011113009226971,0.007068454426420347,
HRP,DCC,11,-0.0015304283796778728,0.007828199461137284,
ERC,DCC,11,-0.0027558410371106845,0.008373523122279352,0.2885333600478724
Naive,N/A,12,0.006629087936458111,0.009053015238647138,
MVP,Historical,12,0.0031559466279826864,0.007076315601550922,
HRP,Historical,12,0.0066827105775599804,0.007830502965160059,
ERC,Historical,12,0.0066321200809396075,0.008373683198908731,0.10687202265569178
MVP,GARCH,12,0.003312813206753029,0.0070445314593868364,
HRP,GARCH,12,0.006714674174820523,0.007796739513973155,
ERC,GARCH,12,0.006636397291450047,0.008348327900236017,0.10668619531609548
MVP,DCC,12,0.0033107153205240714,0.007044116776153098,
HRP,DCC,12,0.006714662198258559,0.007796287266269459,
ERC,DCC,12,0.006636305430580691,0.008347813617685662,0.10668446192344029
Naive,N/A,13,-0.012276263251468467,0.009050187769674482,
MVP,Historical,13,-0.009595365320094862,0.007072040445469225,
HRP,Historical,13,-0.011514397166893953,0.007826706932656479,
ERC,Historical,13,-0.011622291471586332,0.008370020448938066,0.038980422234943905
MVP,GARCH,13,-0.009359822628566383,0.007072507727491609,
HRP,GARCH,13,-0.011470671854154735,0.007817092231848176,
ERC,GARCH,13,-0.01161644761968983,0.008357175706266632,0.03858138639011778
MVP,DCC,13,-0.009360942640547432,0.007071982304732076,
HRP,DCC,13,-0.011470729799455959,0.00781669316000208,
ERC,DCC,13,-0.01161656380277365,0.008356828440906567,0.038580560437636996
Naive,N/A,14,-0.0022233405623957037,0.009057344384833556,
MVP,Historical,14,-0.0009127813280915831,0.007074836742641747,
HRP,Historical,14,-0.00043954830464998373,0.007844207049480809,
ERC,Historical,14,-0.001144228547423909,0.008375878291124822,0.4775239346882652
MVP,GARCH,14,-0.000617154458361191,0.007070051746482355,
HRP,GARCH,14,-0.00038316650247527395,0.007837234384152411,
ERC,GARCH,14,-0.0011191218613109122,0.008368036052109406,0.4888244399195372
MVP,DCC,14,-0.0006162045960269591,0.007070382044957064,
HRP,DCC,14,-0.0003829992097229562,0.007837647813015838,
ERC,DCC,14,-0.0011187364589849702,0.008368462189470882,0.48899133576854475
Naive,N/A,15,-0.004369561113906628,0.009057852373823684,
MVP,Historical,15,-0.0035708097785278614,0.007074550164566631,
HRP,Historical,15,-0.003919266107880182,0.007844107495568579,
ERC,Historical,15,-0.00391334795699716,0.008375932509093457,0.14166724012943147
MVP,GARCH,15,-0.0032928987977643986,0.007033558648125368,
HRP,GARCH,15,-0.003831599352492332,0.007809950556630901,
ERC,GARCH,15,-0.0038714024054782303,0.008344541668506782,0.14386881659052067
MVP,DCC,15,-0.003294497542948749,0.0070331610351514,
HRP,DCC,15,-0.0038319992157717087,0.007809633539056894,
ERC,DCC,15,-0.003871403582824451,0.008344229892400672,0.14387099093015485
Naive,N/A,16,-0.002846571737035064,0.009054204277449606,
MVP,Historical,16,0.0017188286775495776,0.007071893874422363,
HRP,Historical,16,-0.0007975873026454527,0.007868843998632583,
ERC,Historical,16,-0.0016364414863454524,0.008372569927680353,0.3732190974989795
MVP,GARCH,16,0.0018198863265102005,0.007027901098912729,
HRP,GARCH,16,-0.0007615935737744772,0.0078316531137606,
ERC,GARCH,16,-0.0016310587168338886,0.008339669538182964,0.3762112161637755
MVP,DCC,16,0.0018213616410982514,0.0070274856828888765,
HRP,DCC,16,-0.0007613738110355817,0.007831463022836625,
ERC,DCC,16,-0.0016305658661923683,0.008339466949518294,0.3763497255731243
Naive,N/A,17,-0.020873418362467477,0.009052948508372754,
MVP,Historical,17,-0.00900381099534242,0.007071901793285011,
HRP,Historical,17,-0.01645848014580853,0.007868211956135834,
ERC,Historical,17,-0.018473772965213353,0.00837189823960785,0.03342191856851467
MVP,GARCH,17,-0.009039821131645143,0.007019997339998292,
HRP,GARCH,17,-0.01636925232389841,0.007821252040992098,
ERC,GARCH,17,-0.0184238849822691,0.008327635205910396,0.03318669138979678
MVP,DCC,17,-0.009037867962928159,0.007019628132012374,
HRP,DCC,17,-0.01636915319846788,0.007820946779386538,
ERC,DCC,17,-0.018423401010778107,0.00832727364167931,0.033187306275840156
Naive,N/A,18,0.01445572404177331,0.009079263679890683,
MVP,Historical,18,0.008577246628690416,0.007078309718476022,
HRP,Historical,18,0.012870802551170124,0.007884792427196379,
ERC,Historical,18,0.013348337298938029,0.008391774427864863,0.04062399059676267
MVP,GARCH,18,0.008417917518334539,0.007040202945334457,
HRP,GARCH,18,0.012737994963199162,0.007865404682077292,
ERC,GARCH,18,0.013264434190470187,0.008392935816132104,0.04064248975291073
MVP,DCC,18,0.008416157772207944,0.007040210037127738,
HRP,DCC,18,0.01273780652920764,0.007866077009466593,
ERC,DCC,18,0.013264122342469653,0.008393720125155527,0.04064036217299029
Naive,N/A,19,-0.011352240724003648,0.009081343738693737,
MVP,Historical,19,-0.007036405233626475,0.0070813805959333165,
HRP,Historical,19,-0.009719027099035826,0.007874960459383048,
ERC,Historical,19,-0.01049852282401642,0.008396020295684509,0.05921817930674817
MVP,GARCH,19,-0.0067699545705268704,0.007050699782735457,
HRP,GARCH,19,-0.009379495449237885,0.007884040907681746,
ERC,GARCH,19,-0.010521667273374669,0.008393464787693134,0.05934612878022657
MVP,DCC,19,-0.006770091514967547,0.007050783932259875,
HRP,DCC,19,-0.009379513596717848,0.007884292791732389,
ERC,DCC,19,-0.010521953473267676,0.008393738947887917,0.059346240108872426
Naive,N/A,20,0.0012905192887289196,0.009089498210481961,
MVP,Historical,20,0.0007054384371660838,0.00708543709900237,
