Date,Historical,GARCH,DCC
2001-03-08,-123.77963304493515,-122.81783964963739,-123.19019546440636
2001-03-22,-122.46852418318475,-122.5561064033185,-123.1566721574552
2001-04-05,-124.5205809940687,-125.65401570409502,-125.29967670746024
2001-04-19,-128.4924112492015,-126.92703217833005,-127.2661993487277
2001-05-03,-133.63059143693465,-133.0194481714331,-132.9430916700862
2001-05-17,-133.87378932276425,-133.71186220929016,-133.705684165297
2001-05-31,-135.43608046811968,-136.23752922176658,-136.2629183492346
2001-06-14,-130.5359108280376,-131.2182387859252,-131.3280337798555
2001-06-28,-133.31194028935744,-134.32530058562617,-134.5969658434403
2001-07-12,-130.17851385416876,-131.07287784456207,-131.08276454771223
2001-07-26,-134.3567381220659,-135.42892170467752,-135.58040190680222
2001-08-09,-136.5054100532189,-138.30971570347728,-138.18320904977475
2001-08-23,-136.92057464296587,-140.2785504607742,-140.10512215819435
2001-09-06,-124.73575136847779,-126.27541212175909,-126.40496808036718
2001-09-20,-112.15205136335558,-113.85576153320382,-113.06237535514872
2001-10-04,-127.04647544256832,-126.51970524936561,-127.11408338232899
2001-10-18,-129.96657136242197,-129.44496663385468,-129.566186371415
2001-11-01,-132.42146250836814,-132.87592823593923,-133.3313881000304
2001-11-15,-134.88624610075453,-136.25859648207438,-136.7920223416681
2001-11-29,-133.45712861617693,-135.0587925612827,-135.32449444409815
2001-12-13,-134.9041458438167,-137.15999657681718,-137.41795110990236
2001-12-27,-136.36664815866243,-139.39334152535014,-139.60757880174992
2002-01-10,-135.91754677020577,-138.75174859024787,-138.68211956106256
2002-01-24,-134.53690540087263,-136.05520945942507,-136.2371238359824
2002-02-07,-137.64622176093394,-140.11120626427808,-140.31863275183593
2002-02-21,-132.36221669898939,-132.06052514069273,-132.5133901295772
2002-03-07,-138.7568296214739,-139.91974674293203,-140.43044468611134
2002-03-21,-137.88236834252237,-140.30725653803046,-140.50764592280953
2002-04-04,-133.62228742103613,-133.92522715834843,-134.16004119980468
2002-04-18,-134.66218776631976,-135.15436667245453,-135.03248939834722
2002-05-02,-133.71131174668557,-132.33971567380792,-132.81965809548734
2002-05-16,-138.03350194197478,-138.5499058169673,-138.91113921222308
2002-05-30,-132.61607634702094,-132.84142157908497,-133.61906360121338
2002-06-13,-131.0823436349016,-131.59180644485352,-131.99858291818228
2002-06-27,-122.34028804704278,-123.31526222565323,-123.4689218409337
2002-07-11,-82.13534568126889,-97.37365519759469,-97.01176696183548
2002-07-25,-105.9858817424706,-116.24368066602234,-116.35962480961513
2002-08-08,-125.44524008034946,-122.95076277317821,-123.094227836491
2002-08-22,-135.59687287045566,-133.36774510408537,-133.21221042447488
2002-09-05,-132.33098732770924,-130.4629401682348,-130.74308290542783
2002-09-19,-118.89054228100528,-119.15641611059131,-118.84240548175224
2002-10-03,-96.34774878365877,-110.3007027893585,-111.37628962450012
2002-10-17,-119.66898897389473,-121.03428899967219,-121.18511921597087
2002-10-31,-124.38503983594121,-123.99002623560011,-124.51980962739535
2002-11-14,-132.94281270043015,-132.11074929238356,-131.8311675972895
2002-11-28,-138.14895614246794,-137.40172544090595,-137.10282180611676
2002-12-12,-140.18202621555102,-141.24606528906062,-140.9759053979603
2002-12-26,-138.84899334824198,-139.82012941448846,-139.2294355926538
2003-01-09,-141.45897387791,-142.40216362191913,-141.99885750773663
2003-01-23,-136.70387423705333,-136.63688236107032,-136.4748749774216
2003-02-06,-139.67576169097183,-140.63120951523774,-140.47074891776268
2003-02-20,-140.03738203664452,-142.176457291088,-141.85578262140513
2003-03-06,-136.78995821586335,-137.99855586797165,-138.0882190464817
