Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Avg QLIKE,ERC RC RMSE,Avg Turnover,Ann. Sharpe,Ann. Sharpe (rf=0),Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,DCC,0.1503043493015845,0.1713731995340962,0.1489146115599637,1.150815207042924,-197.8057529237448,0.0351217237827779,0.0788445716198364,0.7948257559853596,0.9036490096784233,1.123585269394631,-0.4387769498165175,0.3425529744997703,-0.0247940398160148,-0.8927157169591325,26.223955486170254
ERC,GARCH,0.1505065365958433,0.1716077982888308,0.1553950610031858,1.1043323847037363,-197.0669518910674,0.0351410924215383,0.078271346262852,0.7950000342463311,0.9036764708932739,1.123869396926115,-0.4397315570116705,0.342269128053161,-0.0248227495915974,-0.8949422110168278,26.09897038474254
ERC,Historical,0.1520744406411289,0.1739742884272469,0.1673226799611563,1.0397531791125674,-195.765982659616,0.0352797348984872,0.0243237578350566,0.794320864220536,0.9015277008584073,1.1275409767853968,-0.4363247940388014,0.3485349508412426,-0.0251084906840791,-0.7902064298609492,25.870367578226716
HRP,DCC,0.1335264509076199,0.1619563318148177,0.1379711363402151,1.17384212459814,-197.8057529237448,,0.1876202421928041,0.7406456529852272,0.8557758097108467,1.0392372971755632,-0.4099484583497638,0.325715216603392,-0.0234061745518382,-1.1310808904932408,31.37935636890908
HRP,GARCH,0.1342889640504867,0.1618495448434331,0.1439549493864496,1.124306913609098,-197.0669518910674,,0.1667270433687799,0.7451175623913532,0.8603210318781197,1.0469303843823068,-0.4067425503400049,0.3301571569982822,-0.0234016876256106,-1.0368450593750804,28.405151252650377
HRP,Historical,0.1390451710562419,0.1655455699631548,0.1574410675268668,1.0514764194856914,-195.765982659616,,0.0627358817351759,0.7573675183384769,0.870017111667106,1.0715612870974225,-0.4061470125511307,0.3423518252242154,-0.0237900010940615,-0.8852983243938355,28.359808525003963
MVP,DCC,0.0966910201859694,0.15070333842,0.1197585057484414,1.2583936103591642,-197.8057529237448,,0.4440729713973663,0.5648792155964159,0.6885447210887653,0.7874110053780162,-0.3666824124653906,0.2636914586000102,-0.0217297093584946,-1.1515170079890478,30.179650804609786
MVP,GARCH,0.0942570620952638,0.1516818482612612,0.1229154192238213,1.2340343401917542,-197.0669518910674,,0.4585601081103627,0.5475525407446621,0.6704249137439372,0.7637595897499836,-0.3778597732211555,0.2494498456179844,-0.0218478478716914,-1.1270083735483007,29.55816455652081
MVP,Historical,0.1057219503711777,0.1514409837681917,0.13808018322124,1.0967611733650744,-195.765982659616,,0.0411228514837783,0.6169498904281805,0.7400423737232782,0.8690880492319842,-0.3609007256342385,0.292939146036308,-0.0216068368630774,-0.9960856141336824,32.45001706156625
Naive,,0.1648760101190822,0.1859995909346868,0.1815668138158049,1.0244140271326172,-195.765982659616,,0.0248007789763973,0.8140339071098021,0.9143208432811699,1.1608830196730824,-0.4632688726074606,0.3558970176241171,-0.0268163282065412,-0.6371249819325719,21.81209170722277
