Model,Covariance Type,#Rolling Windows,Mean Return,Forecasted Std
HRP,GARCH,0,0.006555540665565145,0.006857841645962245
HRP,Historical,0,0.005435852059878486,0.007159925602906293
MVP,GARCH,0,0.002913171312763819,0.005935866882390511
MVP,Historical,0,0.0012165352787993407,0.005741547683218777
ERC,GARCH,0,0.009103347638817988,0.0074927087424993535
ERC,Historical,0,0.008895273858505604,0.00849741701670412
Naive,N/A,0,0.012083854908494118,0.009823174288408362
HRP,GARCH,1,0.003097693351747876,0.00639167917473613
HRP,Historical,1,0.0032100493186469573,0.007160219579209969
MVP,GARCH,1,0.0015174295889596365,0.005279653145167348
MVP,Historical,1,0.002531601994840842,0.005743955103474358
ERC,GARCH,1,0.0034039154519573817,0.007337898034567514
ERC,Historical,1,0.0033908594023640106,0.00850122865128499
Naive,N/A,1,0.003659518642662646,0.00983252760828738
HRP,GARCH,2,0.0027645878670259907,0.00615187939111569
HRP,Historical,2,0.0030278749661553396,0.007156454284914605
MVP,GARCH,2,0.0020085765877508295,0.005021667456942281
MVP,Historical,2,0.0023809690416969637,0.005742422660415453
ERC,GARCH,2,0.0027496893470035314,0.007172679894058458
ERC,Historical,2,0.002922662098622657,0.008494124012165623
Naive,N/A,2,0.0023098432648597095,0.009822234141302094
HRP,GARCH,3,-0.0020965489235128215,0.005981473319288099
HRP,Historical,3,-0.0017885084135202335,0.007150403431195033
MVP,GARCH,3,-0.0015655065288658005,0.004857316985696534
MVP,Historical,3,-0.0010796969488463797,0.005734092899282521
ERC,GARCH,3,-0.0023718549198853585,0.0070291700981904015
ERC,Historical,3,-0.002233707862301677,0.008490595635391503
Naive,N/A,3,-0.003099009513355566,0.009821022870228673
HRP,GARCH,4,0.013211479940313152,0.0058717169020637595
HRP,Historical,4,0.01326193565240412,0.007149753463828714
MVP,GARCH,4,0.011567367516326876,0.0047332891304860255
MVP,Historical,4,0.011358453445216984,0.005732460532812369
ERC,GARCH,4,0.015456602336801144,0.006932218270138459
ERC,Historical,4,0.015698151693568172,0.008491344456664175
Naive,N/A,4,0.01788657345955435,0.009820958742838684
HRP,GARCH,5,0.012047438490641892,0.006587775994938357
HRP,Historical,5,0.013174494447334505,0.007163996428983129
MVP,GARCH,5,0.0038153506987560716,0.005530645151460937
MVP,Historical,5,0.0076490084395547326,0.005743268966836569
ERC,GARCH,5,0.015580661085841902,0.007438586654592537
ERC,Historical,5,0.016544499671884656,0.008504253456082111
Naive,N/A,5,0.01975290072540057,0.009835339789941841
HRP,GARCH,6,-0.004347236327317956,0.00679840089513168
HRP,Historical,6,-0.0013942269859114993,0.007174685778656865
MVP,GARCH,6,0.003657344993482557,0.005648036265626595
MVP,Historical,6,0.008155753027048768,0.005749728585385213
ERC,GARCH,6,-0.006561542355361855,0.007820773918919995
ERC,Historical,6,-0.005328363472702122,0.008521460282137612
Naive,N/A,6,-0.007535428252888526,0.009858613487164873
HRP,GARCH,7,0.010768156580247493,0.00695593271973843
HRP,Historical,7,0.010661752202538378,0.007159203782564144
MVP,GARCH,7,0.0059581417080042005,0.005801305876513218
MVP,Historical,7,0.006268758445134088,0.005742487160981603
ERC,GARCH,7,0.012595170294210572,0.00792426081687132
ERC,Historical,7,0.012744013994814125,0.008510180233626761
Naive,N/A,7,0.013603585738916374,0.00985734260183106
HRP,GARCH,8,-0.002452819852851216,0.006762610634366817
HRP,Historical,8,-0.002355594178285167,0.007169042212251486
MVP,GARCH,8,-0.002378114029875502,0.005487056054842972
MVP,Historical,8,-0.0014038990454619908,0.005746488888954128
ERC,GARCH,8,-0.0025444077481052776,0.007917986114507116
ERC,Historical,8,-0.0026240180700698727,0.00852276784341121
Naive,N/A,8,-0.002587881331332753,0.009869195262408259
HRP,GARCH,9,0.0001887850710704281,0.006382520163603085
HRP,Historical,9,-0.0003583179516514028,0.007165098564989797
MVP,GARCH,9,5.3406320830470396e-05,0.005121789064637275
MVP,Historical,9,-0.0013005925468900818,0.005739493639846566
ERC,GARCH,9,0.0011713183952205245,0.0076119010567483655
ERC,Historical,9,0.0010076512238026587,0.008521884462054768
Naive,N/A,9,0.0031321233547558017,0.009869319814592933
HRP,GARCH,10,0.0008255391887361712,0.006158379653678687
HRP,Historical,10,0.0010959628344600668,0.007094946004555236
MVP,GARCH,10,-0.0006343938177566474,0.004953501071353688
MVP,Historical,10,-6.275627384577774e-05,0.005719170151765428
ERC,GARCH,10,0.00139511555257845,0.007434023506566832
ERC,Historical,10,0.0015452617991525764,0.00850862368211306
Naive,N/A,10,0.001217351290704452,0.009864650352325156
HRP,GARCH,11,0.0017230333572498897,0.00596883221090492
HRP,Historical,11,0.0011035334830773761,0.007043982133760176
MVP,GARCH,11,0.0017078157969928347,0.004780597988143294
MVP,Historical,11,0.0003481463482456975,0.005645999289183383
ERC,GARCH,11,0.001485190899854881,0.0072453570099484475
ERC,Historical,11,0.0011563497038168807,0.008493198739722858
Naive,N/A,11,0.00023216004511836946,0.009862983393716248
HRP,GARCH,12,-0.00438234573165535,0.005894233022792252
HRP,Historical,12,-0.0050443909060120095,0.00704440064759762
MVP,GARCH,12,-0.003071723861605729,0.004711752682195073
MVP,Historical,12,-0.0029189464103388982,0.005631052946209825
ERC,GARCH,12,-0.006712801539089028,0.007147103641025392
ERC,Historical,12,-0.007260823111714606,0.00849396130735296
Naive,N/A,12,-0.008650003551684361,0.009860642648219935
HRP,GARCH,13,0.0043321998050385845,0.005857989561985298
HRP,Historical,13,0.00417102642723523,0.007044098774500396
MVP,GARCH,13,0.006489725011895771,0.004682624392207303
MVP,Historical,13,0.006687218625916569,0.005626319741554744
ERC,GARCH,13,0.0028879328459291325,0.007117588926420684
ERC,Historical,13,0.0026714742875448465,0.00849615177930036
Naive,N/A,13,0.001591352886651111,0.009864591827750558
HRP,GARCH,14,0.00792639245478289,0.006057419031085966
HRP,Historical,14,0.006794108643775701,0.007040319128286208
MVP,GARCH,14,0.00535247440280179,0.004962910336353593
MVP,Historical,14,0.0035731297498862004,0.00562501969268119
ERC,GARCH,14,0.009008990966087954,0.007091794728354074
ERC,Historical,14,0.008579608550241867,0.008483851438421725
Naive,N/A,14,0.009737380216910813,0.009847242835816925
HRP,GARCH,15,0.0009522743405710873,0.0059978931032126145
HRP,Historical,15,0.0015585138827609545,0.0070446630949719
MVP,GARCH,15,0.0007033733855945459,0.004848941802435551
MVP,Historical,15,0.0017760547130912117,0.005626973076132466
ERC,GARCH,15,0.0014569559700671115,0.007116359282019092
ERC,Historical,15,0.001814641259180307,0.00848787312057627
Naive,N/A,15,0.001782347619706602,0.009848860656570226
HRP,GARCH,16,0.0034519667020623487,0.0058915049557519625
HRP,Historical,16,0.003301438513261157,0.007042921842768001
MVP,GARCH,16,0.004025276912730942,0.004753582290092854
MVP,Historical,16,0.0034000194667175693,0.005624199520252296
ERC,GARCH,16,0.003431612145098911,0.00700640121907345
ERC,Historical,16,0.003372428325739323,0.008487885735523525
Naive,N/A,16,0.003372779155152418,0.00984896151889631
HRP,GARCH,17,-0.006841957795622085,0.005819441525549092
HRP,Historical,17,-0.0065775349356658,0.0070431820924030985
