Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Avg QLIKE,Avg Cov RMSE,ERC RC RMSE,Avg Turnover,Ann. Sharpe,Ann. Sharpe (rf=0),Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,DCC,0.07237432076097816,0.18301476325065388,0.153310776753807,1.201545332112032,-142.65204817887226,0.00011259982938944526,0.015588246661797419,0.09606450491012883,0.38705665829621866,0.4736570369039147,0.5359976590825561,-0.5403484659765185,0.13394008740301167,-0.02832392647515896,-0.3555657340668197,13.061955995963466
ERC,GARCH,0.07299423001272087,0.183040079748642,0.1527830590516498,1.2056954579823629,-141.75994232694194,0.00011429896827004182,0.01579643228976366,0.09392907758664654,0.39018121155598207,0.47677001432198535,0.5405418879409467,-0.534371400304311,0.13659830966094463,-0.028311805057813232,-0.34955128592949386,12.956940999573604
ERC,Historical,0.07452776349956736,0.1881325810970593,0.18063292043668178,1.0483826059441257,-138.97897183280173,0.00017769573822493172,0.01807437325997621,0.030457209981403152,0.3922613287623641,0.4765053104788833,0.544025615760901,-0.5531481453639507,0.13473382153442978,-0.029125181900535924,-0.34658092034472365,12.690505850979248
HRP,DCC,0.0694221420836778,0.17136064702221546,0.1426982352213167,1.2083243096934302,-142.65204817887226,0.00011259982938944526,,0.21571180371879592,0.3851957963532577,0.4776860844327512,0.5321522568615751,-0.5034328895474294,0.1378975103237418,-0.02643978052655124,-0.37996754676645583,14.31231502426143
HRP,GARCH,0.07100054497717934,0.1721734141410572,0.14301593515712374,1.2113266479282123,-141.75994232694194,0.00011429896827004182,,0.18430574893161186,0.3927534266511193,0.48480915479003545,0.5430257183365159,-0.5035415860197556,0.14100234607910567,-0.026587494903971342,-0.37413707141846975,14.019565179404466
HRP,Historical,0.07295670505842144,0.17918087458630555,0.17055387797246235,1.057541622884266,-138.97897183280173,0.00017769573822493172,,0.04349090705765541,0.3944886371759969,0.4829454674031859,0.5461966488081657,-0.5276893980748691,0.13825690894034273,-0.02774738896724043,-0.3788868499127733,13.634131439920196
MVP,DCC,0.05671877578526674,0.1456372781456449,0.11777803072499872,1.2409556745197838,-142.65204817887226,0.00011259982938944526,,0.6086027596236697,0.3430082099693761,0.4518214426712925,0.47464582833992014,-0.4408409746443105,0.12866039920864863,-0.022078738800309344,-0.27965458130586646,17.712214620923582
MVP,GARCH,0.056862959906878396,0.14702072565059188,0.11792206399075023,1.2511052650851695,-141.75994232694194,0.00011429896827004182,,0.6192526700342749,0.34207176840184583,0.4498678452259249,0.473670964587416,-0.4293560602220178,0.1324377717586538,-0.022241605038894056,-0.2508065000519941,17.98002583134177
MVP,Historical,0.06120736300273988,0.15099255649634963,0.13873893401565524,1.0911767820806493,-138.97897183280173,0.00017769573822493172,,0.03432283222460762,0.36414374812436673,0.469107786481053,0.5074093752306293,-0.43482119187465207,0.14076444328496393,-0.022705791711111797,-0.19288884925654817,16.19371206702549
Naive,N/A,0.0737410542693866,0.19769975839637655,0.1916976158888708,1.0379298128995602,-138.97897183280173,0.00017769573822493172,,0.03060713036982766,0.37894252640743176,0.4591067812882617,0.5260573797677651,-0.5761922236943711,0.12797995397539585,-0.03059059995833841,-0.326484001854102,11.711060860171331
