Model,Covariance Type,Window Index,Mean Return,Forecasted Std
Naive,N/A,0,0.0007074996824616896,0.011114941447157486
MVP,Historical,0,0.001164575609913107,0.007209193832343474
HRP,Historical,0,0.0007206441224294295,0.009145670135612604
ERC,Historical,0,0.0006563988223488394,0.010092092594808406
MVP,GARCH,0,0.00142692750011956,0.007486561882524938
HRP,GARCH,0,0.0007346595299108519,0.008722923946954524
ERC,GARCH,0,0.0006914543370948627,0.009209919920625644
MVP,DCC,0,0.0013484255694534552,0.007775348638567497
HRP,DCC,0,0.0007287758555612208,0.009369661098690238
ERC,DCC,0,0.0006738437294672361,0.00993217869319316
Naive,N/A,1,-0.004326602390409518,0.01115197274605636
MVP,Historical,1,-0.002682237706697547,0.007227757806026009
HRP,Historical,1,-0.0037617405673598106,0.009241256118291217
ERC,Historical,1,-0.004054102217494973,0.010126401839011496
MVP,GARCH,1,-0.002498619019151593,0.0073451729564747645
HRP,GARCH,1,-0.0037688629700115698,0.008789625394317359
ERC,GARCH,1,-0.0040312746460887065,0.009326217545910067
MVP,DCC,1,-0.0024127129701736324,0.0075847861979086864
HRP,DCC,1,-0.0037117497617418895,0.009456681311016306
ERC,DCC,1,-0.004058582677974045,0.010132373070781527
Naive,N/A,2,0.008211452345898294,0.011181143231284121
MVP,Historical,2,0.006451936029400918,0.007206342774588688
HRP,Historical,2,0.00743226684990235,0.009181251397024151
ERC,Historical,2,0.007669472373083819,0.010153780131976336
MVP,GARCH,2,0.006117064452364105,0.006956020342730948
HRP,GARCH,2,0.007377259187538549,0.008579542960341444
ERC,GARCH,2,0.007624985787546288,0.009250062789754368
MVP,DCC,2,0.0063604821428085365,0.00722684661507863
HRP,DCC,2,0.007182850990208366,0.009213597887608452
ERC,DCC,2,0.007645254145300148,0.010062999148774392
Naive,N/A,3,4.7439937735899854e-05,0.011316475054610548
MVP,Historical,3,-0.00019441492400488827,0.007324444668286762
HRP,Historical,3,-4.1398067122474854e-05,0.009328820665400181
ERC,Historical,3,-1.6368713660161982e-05,0.010290596336114568
MVP,GARCH,3,-0.0006302165957349433,0.009566756005135034
HRP,GARCH,3,-0.00014461795717474088,0.011175962719500476
ERC,GARCH,3,-8.966136369789493e-05,0.011661310167595246
MVP,DCC,3,-0.0006111837771726831,0.010227262266738354
HRP,DCC,3,-0.0001811354200918124,0.012285946572821423
ERC,DCC,3,-7.807618001704611e-05,0.012998184694083755
Naive,N/A,4,0.0038441754510031346,0.011313259663785002
