Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Avg QLIKE,Avg Cov RMSE,ERC RC RMSE,Avg Turnover,Ann. Sharpe,Ann. Sharpe (rf=0),Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,DCC,0.07797779316596998,0.17468980346063395,0.14576320383268726,1.2021405947356265,-153.62255676332597,0.0002314661497080523,0.44489449890182414,0.034263970641296666,0.41509422155194764,0.5175393928781211,0.5751837039969411,-0.5416184747184938,0.14397181190412484,-0.026803197866392268,-0.39534904648166286,15.05046080827615
ERC,GARCH,0.07818768885970084,0.17481985384485013,0.14483933351683662,1.2106320855336834,-152.7590183449652,0.00023075965271962624,1.1190047465869346,0.03379978536290064,0.41602228677485537,0.5183917431523882,0.5767872583877679,-0.5379501110617716,0.14534375447079836,-0.02680389568666037,-0.3845410097089973,14.977742068632992
ERC,Historical,0.08159517302240582,0.1788536077729378,0.17471033872351271,1.0265899592413248,-149.07285639453252,0.00026749545357551214,1.1383009490402474,0.005875165809811934,0.42826758773924345,0.5283314967794295,0.5956100124077394,-0.5481991286385601,0.14884221582957555,-0.027387430706827105,-0.3518073000871855,14.090698817320895
HRP,DCC,0.07685812124608327,0.16296039288196584,0.13441482517620243,1.2161497209751881,-153.62255676332597,0.0002314661497080523,,0.09343793677791389,0.426399521439532,0.5362204352093424,0.5890801557534627,-0.5029089201563323,0.1528271187200089,-0.02502372714944256,-0.4364272624261345,16.396917017178538
HRP,GARCH,0.07658450144725815,0.1635442162736441,0.1343133911711442,1.2215472520272883,-152.7590183449652,0.00023075965271962624,,0.07136736390535103,0.42391618344948245,0.5333466237799912,0.5853880839132966,-0.5016841862707179,0.15265480464224113,-0.025108376301472578,-0.4518592249029963,16.316747234282587
HRP,Historical,0.08194023781060711,0.16928918824659311,0.16469397313500295,1.0307352265723415,-149.07285639453252,0.00026749545357551214,,0.011405839605506417,0.4444679331010043,0.550190880684536,0.6175666981906709,-0.5176899308976921,0.15828053226478622,-0.025914603865110318,-0.3643521826446465,14.955682008715517
MVP,DCC,0.07626076502273382,0.13886294799640575,0.10871401936486218,1.2823808181387666,-153.62255676332597,0.0002314661497080523,,0.2557496433193355,0.4701786342537085,0.5990541717961909,0.6463253969338498,-0.43129093760333626,0.1768197714668232,-0.02086423255279783,-0.6746037390880454,19.925196119407595
MVP,GARCH,0.07490668931549549,0.14014880634162535,0.1084607245245346,1.2965090821561005,-152.7590183449652,0.00023075965271962624,,0.2586243642223267,0.45811686909162647,0.5858157272515196,0.6322219678266859,-0.41896152359739613,0.17879133308546388,-0.020968319403239448,-0.5634578676484726,19.84433835486341
MVP,Historical,0.08078211069642416,0.14033347709590283,0.13416290028992278,1.047912076690099,-149.07285639453252,0.00026749545357551214,,0.006645735527527966,0.49643930050278284,0.6239592652217782,0.6931255194880375,-0.39647590944507916,0.2037503635706126,-0.02086731429437196,-0.2739809454712748,18.040736463962432
Naive,N/A,0.0811612308525862,0.1897470034887825,0.18642416937708767,1.0206753376394608,-149.07285639453252,0.00026749545357551214,,0.006044311320708574,0.41218745919230393,0.5065030333113913,0.5738254874680152,-0.5723881257469509,0.1417940505783082,-0.029043441819004315,-0.3311670920354198,13.033418598390455
