Date,Historical,GARCH,DCC
2004-01-30,-140.11726683626665,-145.74159804473285,-146.0466619842257
2004-03-01,-140.7005017568677,-145.7490304492808,-146.18453189612663
2004-03-30,-134.64292371017058,-137.18418919542714,-136.84022534393492
2004-04-28,-136.6767473113385,-141.1757153096705,-142.20511038194638
2004-05-27,-142.04919732593828,-147.26108467588767,-148.6626694237926
2004-06-25,-139.44260566473412,-143.72170743287347,-144.63731708926585
2004-07-26,-139.2126936962079,-144.01069565809243,-144.28892557334592
2004-08-24,-141.30488534781037,-145.73236097263344,-147.04627413102455
2004-09-22,-139.3770384627863,-143.40759673141605,-143.91917638903607
2004-10-21,-138.91009078520085,-143.1150470376287,-143.94738825614408
2004-11-19,-141.06052676382444,-146.77433321406397,-147.75087237149273
2004-12-20,-142.63851007778308,-150.5846182879182,-151.01694416708216
2005-01-18,-142.9587108332003,-149.25338175346909,-150.02008875080094
2005-02-16,-141.103550857322,-146.19254537636195,-147.09125260517484
2005-03-17,-143.05209089754027,-148.34901007804734,-149.10062726197938
2005-04-15,-139.4439372419689,-142.4370058709223,-143.34886654596534
2005-05-16,-145.743349082546,-150.57976130058225,-151.63051215870814
2005-06-14,-144.87685067987476,-151.97505054704698,-152.57230733817195
2005-07-13,-141.82627338007626,-146.94447574494376,-147.70085222086843
2005-08-11,-145.54991516141362,-152.30311769772592,-152.5206994263246
2005-09-09,-141.1764404346393,-144.4151650883004,-145.6752251397046
2005-10-10,-139.6137482309512,-142.74142548413778,-142.78583943972362
2005-11-08,-143.49864617259013,-146.79236411755605,-146.9734042522243
2005-12-07,-146.0741175266388,-150.43236808636823,-150.47232378013678
2006-01-05,-144.2495629070923,-147.50683076076774,-147.90840214257685
2006-02-03,-145.34698900509852,-150.1871966266832,-149.9675234988377
2006-03-06,-146.31415921725235,-151.24686166353678,-151.0850629513499
2006-04-04,-144.23492526961599,-146.565692616783,-146.97634580143165
2006-05-03,-144.44405864521372,-147.01238329487146,-147.72508424331562
2006-06-01,-144.7756016236084,-148.5616116163839,-148.69144042195794
2006-06-30,-139.62413103287753,-141.93916863488812,-142.0887426076984
2006-07-31,-143.079976535999,-144.8845310794263,-145.2634091327344
2006-08-29,-144.86094273756675,-147.57997653428544,-147.8183550545609
2006-09-27,-145.17646376007298,-147.92098760265583,-148.6467772557185
2006-10-26,-144.87758392101244,-145.88855716466375,-146.3760466408879
2006-11-24,-148.67525907261665,-152.32878857433337,-152.5828336560968
