Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Avg QLIKE,ERC RC RMSE,Avg Turnover,Ann. Sharpe,Ann. Sharpe (rf=0),Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,DCC,0.1474754667877822,0.1705923790332346,0.147415137389996,1.1572242990346486,-197.5824586706552,0.0357126671921726,0.0774482907124322,0.7857932968396122,0.8925457904705836,1.1122024580604988,-0.4410368772131439,0.3343835275627312,-0.0245684527383115,-0.8774572549736253,26.7654555392464
ERC,GARCH,0.1473863814547094,0.1707495183583862,0.1525486261681555,1.1193120688623426,-196.76560832204052,0.0357399358942352,0.0771565328038603,0.7847707313653328,0.8914269122703078,1.1108383560648372,-0.4427243050239838,0.3329078159526953,-0.0245831305747009,-0.875783979831882,26.66234880896355
ERC,Historical,0.1479903666614672,0.1725109115260868,0.1634060970964765,1.0557189394483537,-196.3259856790332,0.0358179589309603,0.0252105682882997,0.781518241783379,0.8870902937247289,1.109585526292275,-0.4349632432123399,0.3402364888778003,-0.0248131127491314,-0.7865481452113408,25.846043321500503
HRP,DCC,0.1318194245768769,0.1611954610760485,0.1361523317365219,1.1839346342447472,-197.5824586706552,,0.1848882247079302,0.736697708732878,0.849644717875454,1.0368197865847777,-0.4023307546464304,0.3276394435536509,-0.0231238259593212,-1.0547501111521085,31.286351612695313
HRP,GARCH,0.132300564934916,0.1614311638526589,0.1409706129751239,1.145140539902068,-196.76560832204052,,0.1728854786076342,0.7384988910063609,0.8512857294812879,1.0386264647652792,-0.4162475126288979,0.3178410943511572,-0.0231539910084667,-1.0651856398463575,31.870573738293892
HRP,Historical,0.1344141885056378,0.1636727448002715,0.153273575605698,1.0678471103285652,-196.3259856790332,,0.0771055596380825,0.7419535535324476,0.8532058217078156,1.0487299640544367,-0.4056330669188011,0.331368913108222,-0.0234118192566064,-0.939609359785622,30.473232397350245
MVP,DCC,0.100848218851419,0.1508314056465977,0.1174969789776137,1.2837045425256008,-197.5824586706552,,0.428496639956597,0.5925047524446015,0.7131699885186972,0.8317554029427561,-0.3432038475082091,0.2938434973372693,-0.0214092085922261,-1.088853489089432,34.5938210287451
MVP,GARCH,0.0982440889272031,0.1517385864155503,0.1199341099770637,1.2651829112215776,-196.76560832204052,,0.4434111214990773,0.5742391313402365,0.6941873238047219,0.8064546018043609,-0.3444689713365256,0.2852044657201491,-0.0215363328436448,-1.0434103886921486,34.53375719152229
MVP,Historical,0.1009796076000866,0.1487837230759425,0.1336020375799832,1.1136336374126814,-196.3259856790332,,0.0541806653202071,0.5992960528498263,0.7216290920264928,0.8448419920267208,-0.3490792208613266,0.2892741863893447,-0.0210878852171354,-0.9664014482249628,31.50953478532019
Naive,,0.162013084062035,0.1859384112028222,0.1786743309260825,1.0406554217334378,-196.3259856790332,,0.0250201780713348,0.8033379292316128,0.9012993896475453,1.1468025190954698,-0.4632688726074594,0.3497171807597642,-0.0267373008597926,-0.6143418721181595,21.399160125398375
