Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Avg QLIKE,ERC RC RMSE,Avg Turnover,Ann. Sharpe,Ann. Sharpe (rf=0),Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,DCC,0.1495422604795531,0.1724603506880905,0.1508102569859779,1.150951277595896,-197.54373602931167,0.0240261632770029,0.0909186053767684,0.7844220337067637,0.8951955791181799,1.107183233224357,-0.4358008294861207,0.3431435884504568,-0.0250429420505534,-0.879678308059156,26.08064163640528
ERC,GARCH,0.1498774447865698,0.1726441625718886,0.1582535173961811,1.0979709594394311,-196.9192234058705,0.0241304711225285,0.0910909776969392,0.7854600507109064,0.8961175887577191,1.1088487606100972,-0.4352053263037625,0.3443832961776738,-0.0250631837888956,-0.8798443318374608,25.971953985569957
ERC,Historical,0.150808565534118,0.1749259753794074,0.1703158665273268,1.033160421048753,-194.85101787752393,0.0243454351859866,0.0339669480002488,0.782076405966601,0.8912932615019507,1.107885270632097,-0.4368528203660888,0.3452159594797587,-0.0253472833201876,-0.7896000519345407,25.710527807695097
HRP,DCC,0.134769301356372,0.1634513547531697,0.1403007233321512,1.173537956159735,-197.54373602931167,,0.2054935601891853,0.7392630239516266,0.8561252470629345,1.0368619032554498,-0.3933644196534275,0.3426067397633728,-0.0237049672475909,-1.075670799178632,29.762436239667984
HRP,GARCH,0.1365514579245506,0.1633719123500437,0.1472265631838039,1.1176651015972465,-196.9192234058705,,0.1887057557888331,0.7491336470021182,0.8660543832257565,1.0516123742663015,-0.4010585376534761,0.3404776238488513,-0.0237018593576752,-1.0533763031632746,29.02128114553284
HRP,Historical,0.137912688987182,0.1665945012680175,0.1606498165857503,1.0436452483370515,-194.85101787752393,,0.0752519135444482,0.7449705243748463,0.8596338245099207,1.051660357428457,-0.4085527187504508,0.3375639976377707,-0.0240738115314566,-0.9003050917085746,28.586682426388077
MVP,DCC,0.1065416247047845,0.1509527063488958,0.1226991618329809,1.2380321543367026,-197.54373602931167,,0.5110221368727149,0.6203423062241396,0.7468321998957357,0.8686972425935418,-0.3288703591933618,0.3239623813046119,-0.0218223131384811,-1.003916781526524,27.054899374610915
MVP,GARCH,0.1006770459711967,0.1520109051653099,0.1263720456107969,1.210708919022464,-196.9192234058705,,0.526586543527362,0.5821233164533504,0.7077338658238848,0.8145174657397931,-0.3352412121239229,0.3003122597408495,-0.0219280573253214,-1.0081959432510714,27.363553654147065
MVP,Historical,0.10493348789735,0.1526339714145511,0.1413095901780033,1.0868647006905554,-194.85101787752393,,0.0502960482658597,0.605644859413253,0.7307443493593441,0.8522142532504353,-0.3410224339737242,0.307702595030552,-0.0218619767481167,-0.9243602534841384,31.169404278584693
Naive,,0.1644538031098423,0.186101377290004,0.1839094300589426,1.0119186233699864,-194.85101787752393,,0.0348702691307814,0.8093240068947597,0.9119907654340591,1.1516424391422124,-0.4651811207240075,0.3535263917286381,-0.0269273774328288,-0.6561380352588357,22.180635219042376
