Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Avg QLIKE,Avg Cov RMSE,ERC RC RMSE,Avg Turnover,Ann. Sharpe,Ann. Sharpe (rf=0),Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,DCC,0.07179956873397919,0.17972438960249468,0.15169555472365745,1.192468698095118,-146.0959569839189,0.00010984504159104252,0.01531672018574342,0.0930417475594686,0.3791856574269539,0.4760081983229799,0.5254871983175257,-0.5395804646499647,0.13306554524830108,-0.027777208291379255,-0.3536487015813859,13.4543680809246
ERC,GARCH,0.072254057041514,0.1798113392810175,0.15131113298752233,1.1959362501220203,-145.32217168764424,0.00011141064289802918,0.01552688408320736,0.09149929127949225,0.38144309349357014,0.4782192866118132,0.5288050566638686,-0.5352979118829875,0.1349791498108968,-0.027778929551609766,-0.3479351041410519,13.367771821944526
ERC,Historical,0.07402661016874545,0.18468669813744806,0.17918350564373556,1.0374621035787095,-142.45322912918797,0.00017531490214612962,0.017781351013840645,0.03047550392230337,0.3851530315180678,0.47937441969137473,0.5345381848931965,-0.5533540387119755,0.1337780245375182,-0.02854533666197326,-0.34521992486810665,13.072756055754873
HRP,DCC,0.06991282691397616,0.1683023186982516,0.1411572385221203,1.1996862993896602,-146.0959569839189,0.00010984504159104252,,0.21370109552646677,0.38259493987973875,0.48599022322609714,0.5291929379218769,-0.5046537299112663,0.1385362334016019,-0.025948978193083973,-0.3756178828719793,14.7888634730446
HRP,GARCH,0.06974747183805663,0.16871857877228372,0.14130355350487023,1.2013612323295053,-145.32217168764424,0.00011141064289802918,,0.18327662272825954,0.38115005159728244,0.48429008275700536,0.5273217613648612,-0.4993439342324757,0.1396782198731683,-0.02601390975801382,-0.37210472144435386,14.6403797804049
HRP,Historical,0.07413698383752654,0.17588834336360135,0.1691544415273699,1.0464439537030215,-142.45322912918797,0.00017531490214612962,,0.04396143035875549,0.3959503525487492,0.4948902433169105,0.5491104382323071,-0.5319108761392077,0.13937858232123074,-0.027174230353256973,-0.36581797440703906,14.027300676995168
MVP,DCC,0.06021678285455456,0.14344056121844453,0.11625773087497625,1.2380171682098402,-146.0959569839189,0.00010984504159104252,,0.6084976906716936,0.35825180788472677,0.4795435641252198,0.497444547944471,-0.4437925066329732,0.13568679496509672,-0.021660923672337466,-0.2272540550042118,18.686790973892908
MVP,GARCH,0.05993713967444303,0.14450319728273153,0.11635085175005384,1.2462926564894707,-145.32217168764424,0.00011141064289802918,,0.6103021928703335,0.35484638004174124,0.47525212715885395,0.49255899305904505,-0.4333023659077283,0.13832636142865334,-0.021784847441067557,-0.22198228138942136,19.01854733430443
MVP,Historical,0.06752667514744459,0.14701478726410816,0.1376866277909836,1.0706984519289229,-142.45322912918797,0.00017531490214612962,,0.03706263656883553,0.39980906545589795,0.5181627969443129,0.5577256125941915,-0.4118411854363808,0.1639629001064921,-0.022014998361181457,-0.2127490078707984,17.133791355932747
Naive,N/A,0.07306380495776965,0.19438330125701678,0.19041676119331172,1.0273862307705404,-142.45322912918797,0.00017531490214612962,,0.030644646457296087,0.37081404895746634,0.4603313302287553,0.515127561727941,-0.5761922236943715,0.12680456617291097,-0.030027895176082255,-0.3244034040326003,12.009251359576176
