Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Avg QLIKE,ERC RC RMSE,Avg Turnover,Ann. Sharpe,Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,DCC,0.1604090701090124,0.17126295962375415,0.14716919587883198,1.1637147203329097,-195.48964273158225,0.03627890820550723,0.08377741288409206,0.8511730672705732,1.2150472011992761,-0.43213272294735383,0.37120324749985395,-0.02443652639671839,-0.766410797576168,26.038966434382885
ERC,GARCH,0.16046054267015863,0.17140806998459515,0.150352503678255,1.1400413414557948,-194.71415323710514,0.03631981649421652,0.08361925583276095,0.8508565714611814,1.2146385403115745,-0.43439462419296626,0.3693888776093119,-0.024462505288171947,-0.764368783199496,25.866717248394778
ERC,Historical,0.16167176343725842,0.17251337562186694,0.1572290915160918,1.0972102806064414,-195.4268352548587,0.03600716137428402,0.02945314493444297,0.8525557614868997,1.2189136250673085,-0.43415055953408677,0.37238639888143454,-0.024598916605430114,-0.7453436016176221,25.684206494895076
HRP,DCC,0.144361795596456,0.1618814844427772,0.13493187128090722,1.1997275581079363,-195.48964273158225,,0.2034498070871177,0.8047262726009783,1.1472758881058878,-0.3910919654528353,0.36912493313255157,-0.022931162110281414,-0.7947154716365977,30.42613965880305
HRP,GARCH,0.14203031571883784,0.16192817637666393,0.13792281060532874,1.1740492792017372,-194.71415323710514,,0.19928161167133682,0.7919686266416635,1.125825216571644,-0.3847529265804045,0.36914681060692794,-0.023023223094154503,-0.8433168087525518,29.954803504233464
HRP,Historical,0.14507521851054106,0.16304686735595464,0.1468171011226591,1.1105441131121114,-195.4268352548587,,0.10581277182301288,0.8040095430788394,1.1447346978730035,-0.3964841700823022,0.36590418850877793,-0.023167233147125568,-0.861519691336092,29.72086914554276
MVP,DCC,0.11505659448210115,0.16115568682604833,0.11455329139547024,1.406818476037441,-195.48964273158225,,0.44703669523524975,0.6449144480137119,0.9659350894271962,-0.4016139522799531,0.28648555118398533,-0.021513466096910693,2.9509136500886033,148.76905216724506
MVP,GARCH,0.11660375762394559,0.1627882748498417,0.11578901485011397,1.405904308457647,-194.71415323710514,,0.4565880147804588,0.6483451445267333,0.9779665807015617,-0.4282954044048193,0.27225077930963093,-0.021601220955693605,3.4423897434026873,166.59986012876433
MVP,Historical,0.11892095044574091,0.15419765648516012,0.12650479261880337,1.2189076262889391,-195.4268352548587,,0.09520299218397103,0.6898916838166367,1.024487401977697,-0.34494259299581653,0.3447557734546954,-0.02081678715882982,1.926110645216449,107.43415443008354
Naive,N/A,0.178510586391035,0.18726447255856457,0.17416320230454244,1.0752241006174956,-195.4268352548587,,0.025747903777943382,0.8764818272269068,1.2589672090368158,-0.4621344439224204,0.3862741432469422,-0.02668154166324467,-0.6007978444975907,21.399763574718225
