Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Ann. Sharpe,Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,GARCH,0.07858011740864401,0.14234889472737305,0.1418295890752394,1.003661476110307,0.5520247807974965,0.79075372549177,-0.20539516941903646,0.38258016306278836,-0.02047201912923524,0.04000306847795452,5.764757844649695
ERC,Historical,0.07717934436493556,0.14373350220297665,0.16775316519029565,0.8568154409481836,0.5369614124892396,0.7688427859659447,-0.2081131514532727,0.3708527972691073,-0.02063388651960564,0.033074060137198616,5.508046158587252
MVP,GARCH,0.03864751656863619,0.12379349263478738,0.10532512638755931,1.175346252890037,0.3121934420466928,0.4327852067585705,-0.19248296266825082,0.20078409035736916,-0.018205487278654918,-0.3693806622849726,6.50701940795439
MVP,Historical,0.037510057690801624,0.11737733828467581,0.13106417162579437,0.895571511486783,0.31956814014497675,0.44945994632407565,-0.1909803273591819,0.19640796625222784,-0.016726481032233155,-0.17274371349152332,6.146893325194322
Naive,N/A,0.08383534016876926,0.1581133457171719,0.18411061872125067,0.8587953634361554,0.530223048462533,0.7623494113416412,-0.21188852478974352,0.3956577651005823,-0.022451714232501484,0.1129984120282763,5.386551145920242
