"Date","Naive","MVP Historical","HRP Historical","ERC Historical","MVP GARCH","HRP GARCH","ERC GARCH","MVP DCC","HRP DCC","ERC DCC"
"2002-02-25",0.0120838549084941,0.00122857261109558,0.00543868214500864,0.00889777999035599,0.00230006195549159,0.00632278500300356,0.0090597733343482,0.00143909230109598,0.00658641763548845,0.00893858057692517
"2002-02-26",0.00365951864266265,0.00237274887572581,0.00320034381158687,0.00338578148926657,0.00104774728252408,0.00321326594812626,0.00345640657855505,0.00136322493863417,0.00352956647849451,0.00356063722372809
"2002-02-27",0.00230984326485971,0.00225972734103396,0.0030179754098418,0.00291613723382154,0.00164595588764541,0.00276061018490753,0.00271851433018894,0.00196869881703498,0.00294430353927564,0.00284769790174552
"2002-02-28",-0.00309900951335557,-0.00108323104599852,-0.00179440111070242,-0.0022401670018859,-0.00140076959468469,-0.00198766895590976,-0.0023413857339493,-0.00186790224452798,-0.00219266141245045,-0.00238097633717373
"2002-03-01",0.0178865734595543,0.011257159305566,0.0132635190444317,0.0157030390646902,0.0115530467713072,0.0135008132061351,0.0156304451430278,0.0111384639079254,0.0136243097010245,0.0154566945238795
"2002-03-04",0.0197529007254006,0.00748776685342161,0.0131552387023871,0.0165398087961357,0.00424834870349864,0.0120224410704505,0.0156021773983386,0.00468793358962842,0.0129601811978157,0.0157028935143368
"2002-03-05",-0.00753542825288853,0.00805915882388574,-0.00139879088245623,-0.00531861793072045,0.00511509667005947,-0.00395280442069115,-0.00639530328173738,0.00471108730064212,-0.00514920278581242,-0.00661593956789232
"2002-03-06",0.0136035857389164,0.00629379314110405,0.0106781014391125,0.0127543601814062,0.00572490456495158,0.0108603731736158,0.01267925609611,0.00594698981817744,0.0114066851284228,0.0127233647158965
"2002-03-07",-0.00258788133133275,-0.00138486487537761,-0.00236012343211301,-0.00262227986794744,-0.00213455667137761,-0.00247355623340673,-0.00255455002242083,-0.00211217815331974,-0.00248743179895604,-0.00256277069425038
"2002-03-08",0.0031321233547558,-0.00131199223406062,-0.000351934627603161,0.00101115544108413,-1.63961929974931e-05,7.63896501408738e-05,0.0010595297727489,-0.000156218525423692,0.000157235993962959,0.000999866363178373
"2002-03-11",0.00121735129070445,-0.000104418100786142,0.00110966303627541,0.00154079974514873,-0.000656978292059797,0.000844848701112997,0.00139366287038617,-0.000804687787746495,0.000876826903550241,0.0013630763504347
