"Model","Covariance Type","Window Index","Mean Return","Forecasted Std","RC RMSE"
"MVP","Historical",9,0.000637084240802061,0.00758878627150691,NA
"HRP","Historical",9,0.000198936221251977,0.00969288910765245,NA
"ERC","Historical",9,4.18700183491966e-05,0.0107043268411229,0.0161793319577949
"MVP","GARCH",9,0.000694997425765462,0.00857945029099083,NA
"HRP","GARCH",9,0.00014527559500179,0.0105808180481867,NA
"ERC","GARCH",9,7.3337937655389e-06,0.0114682860199229,0.0170705475082211
"MVP","DCC",9,0.000707905302050398,0.00858237206728444,NA
"HRP","DCC",9,0.000242851679292585,0.0108884098510174,NA
"ERC","DCC",9,7.39783531196213e-06,0.0118741342995232,0.0161552218936848
"Naive","N/A",10,0.00137889261822194,0.0117958809126149,NA
"MVP","Historical",10,0.000435567764932987,0.00755655540785897,NA
"HRP","Historical",10,0.00108543062583265,0.00982246981615122,NA
"ERC","Historical",10,0.00124492811435858,0.0106460085067167,0.00885333988513746
"MVP","GARCH",10,0.000570357008603138,0.00688920633039365,NA
"HRP","GARCH",10,0.00108253530301498,0.0087969934462139,NA
"ERC","GARCH",10,0.00123319838906859,0.00955124170033081,0.0105167995429609
"MVP","DCC",10,0.000624471271919456,0.00682180477117988,NA
"HRP","DCC",10,0.00103290460496141,0.00870428845750374,NA
"ERC","DCC",10,0.00124031376276565,0.00970770653753245,0.0117493300953013
"Naive","N/A",11,-0.00418193002761845,0.0118125279286364,NA
"MVP","Historical",11,-0.00245983703577772,0.0075812924936527,NA
"HRP","Historical",11,-0.00354530053534063,0.00972213504748126,NA
"ERC","Historical",11,-0.00394332178422558,0.0106639800625157,0.0130166171082923
"MVP","GARCH",11,-0.00283277782628285,0.00662021490014059,NA
"HRP","GARCH",11,-0.00359416757107079,0.00871568357788369,NA
"ERC","GARCH",11,-0.00395144262861185,0.00965527247661767,0.0146594126067068
"MVP","DCC",11,-0.0027931303286984,0.00676890026789877,NA
"HRP","DCC",11,-0.00364297201187073,0.00902287532801565,NA
"ERC","DCC",11,-0.0039558367801133,0.0100730547704147,0.0144069629829712
"Naive","N/A",12,-0.00168675648103867,0.011653514383514,NA
"MVP","Historical",12,-0.000704375980434971,0.00748192141339574,NA
"HRP","Historical",12,-0.00144456078782954,0.00960037518373039,NA
"ERC","Historical",12,-0.00158044687636332,0.0104486068427684,0.0123627311346031
"MVP","GARCH",12,-0.000555529712355623,0.00754318050327981,NA
"HRP","GARCH",12,-0.00146310327908443,0.00911214764011361,NA
"ERC","GARCH",12,-0.00156520287794587,0.00963812277358477,0.0108426328868322
"MVP","DCC",12,-0.000526723874657446,0.00780298603994832,NA
"HRP","DCC",12,-0.00142378480949628,0.00953231117241007,NA
"ERC","DCC",12,-0.00158061871234272,0.0101993017700852,0.0109004507069955
"Naive","N/A",13,0.00368143622828159,0.0115760099314957,NA
"MVP","Historical",13,0.00238282119151642,0.00750497807952347,NA
"HRP","Historical",13,0.00319915026729216,0.00964497759469844,NA
"ERC","Historical",13,0.00336889870519068,0.0104021669458083,0.0140178764958411
"MVP","GARCH",13,0.00241673597546511,0.00701010692250624,NA
"HRP","GARCH",13,0.00321203752253796,0.0088804473554722,NA
"ERC","GARCH",13,0.0033679272153653,0.00949528053953471,0.0132710291187959
"MVP","DCC",13,0.00250253365591773,0.00719149151682918,NA
"HRP","DCC",13,0.00314001635613823,0.00933717136313296,NA
"ERC","DCC",13,0.00337569359499631,0.010076251062212,0.0126230957569676
"Naive","N/A",14,0.00355835249593348,0.0117183268706179,NA
"MVP","Historical",14,0.0031147468050781,0.00767479414557691,NA
"HRP","Historical",14,0.00321564821627526,0.00968267681442807,NA
"ERC","Historical",14,0.00334771828387443,0.0105669537748162,0.016668139982414
"MVP","GARCH",14,0.00306431423430503,0.00745677778638272,NA
"HRP","GARCH",14,0.00321018417059453,0.00911048668426467,NA
"ERC","GARCH",14,0.00335439316340612,0.00983268268754449,0.0133025598106216
"MVP","DCC",14,0.00314864478333828,0.00772298215977248,NA
"HRP","DCC",14,0.00325645130443707,0.00988150634829428,NA
"ERC","DCC",14,0.00335496838459364,0.0105298718031631,0.0120853924072017
"Naive","N/A",15,0.00263649675132577,0.0117556707322656,NA
"MVP","Historical",15,0.00312276081913025,0.00775571781858365,NA
"HRP","Historical",15,0.00269930334941025,0.00990729482310018,NA
"ERC","Historical",15,0.00270096084723129,0.0106451169742003,0.0122556128286321
"MVP","GARCH",15,0.00308582466041794,0.00716704372624038,NA
"HRP","GARCH",15,0.00265838017396624,0.00883555788788971,NA
"ERC","GARCH",15,0.00268761696034357,0.00941821653533922,0.0131790257945799
"MVP","DCC",15,0.00306709652318591,0.00732885734925607,NA
"HRP","DCC",15,0.00266554524080569,0.00931897290949108,NA
"ERC","DCC",15,0.00269225609354729,0.00997331499383387,0.0134718291793498
"Naive","N/A",16,0.00148937869460582,0.0118121028898593,NA
"MVP","Historical",16,0.00151583633451775,0.00776180440734318,NA
"HRP","Historical",16,0.00137180614249275,0.00995942304247678,NA
"ERC","Historical",16,0.00130463859008627,0.0107005112163885,0.0135329417318493
"MVP","GARCH",16,0.00109337216101232,0.00734864328522941,NA
"HRP","GARCH",16,0.00131629060596379,0.00900735356745088,NA
"ERC","GARCH",16,0.0013062180842595,0.0094879169940648,0.0132493438200462
"MVP","DCC",16,0.00102070718315936,0.00753992059698828,NA
"HRP","DCC",16,0.00123563042201808,0.00925302679360114,NA
"ERC","DCC",16,0.00129643617404303,0.0099210460318623,0.0127786712740853
"Naive","N/A",17,-0.00137947876831273,0.0118458912579736,NA
"MVP","Historical",17,-0.00165718056666321,0.00776991850290437,NA
"HRP","Historical",17,-0.00141250024486196,0.0100053148439682,NA
"ERC","Historical",17,-0.00141316094253823,0.0107329574758367,0.0147767984893339
"MVP","GARCH",17,-0.00173317003981272,0.00650121052046625,NA
"HRP","GARCH",17,-0.0014585089768031,0.00844611486475731,NA
"ERC","GARCH",17,-0.00143952203642827,0.0090743903718434,0.0160988490699509
"MVP","DCC",17,-0.00173596597783388,0.00660757166490024,NA
"HRP","DCC",17,-0.00141200509784559,0.00855938179466849,NA
"ERC","DCC",17,-0.00142473475720437,0.00942177279363085,0.0160674847235371
"Naive","N/A",18,0.00329165732891404,0.011909842642398,NA
"MVP","Historical",18,0.00201253779705291,0.00780024102667422,NA
"HRP","Historical",18,0.00265081280352066,0.0100705099666545,NA
"ERC","Historical",18,0.00293338368574666,0.010797049162014,0.0142300803054481
"MVP","GARCH",18,0.00186024692820748,0.0065490842709584,NA
"HRP","GARCH",18,0.00269770364709153,0.00845333596905344,NA
"ERC","GARCH",18,0.00298592455975852,0.00900014330821931,0.0123334897067595
"MVP","DCC",18,0.00188893242941058,0.00660868416659619,NA
"HRP","DCC",18,0.0027306444498806,0.00856207106706452,NA
"ERC","DCC",18,0.00297756688995729,0.00922248762963339,0.0126809225108035
"Naive","N/A",19,4.99456915476439e-06,0.0118894363330778,NA
"MVP","Historical",19,0.00104000827218295,0.00777329337350949,NA
"HRP","Historical",19,0.000299900082909997,0.0100446296625423,NA
"ERC","Historical",19,0.000173645733234095,0.0107847805672123,0.00797750800060612
"MVP","GARCH",19,0.000990739607309727,0.00599485034585667,NA
"HRP","GARCH",19,0.000285368204398568,0.00766243004100087,NA
"ERC","GARCH",19,0.000166130454113914,0.00816855788584315,0.015916066297288
"MVP","DCC",19,0.0009820893485732,0.00602080338214498,NA
"HRP","DCC",19,0.000303980629163769,0.00768477956511819,NA
"ERC","DCC",19,0.00015982611538331,0.00827042757496777,0.014384841786034
"Naive","N/A",20,0.00209672394573844,0.0118489116812707,NA
"MVP","Historical",20,0.00145464200573153,0.00778550462020674,NA
"HRP","Historical",20,0.00172066858160327,0.00998224355541976,NA
"ERC","Historical",20,0.00185803278898744,0.0107797789597599,0.014459998492703
"MVP","GARCH",20,0.00140659810546129,0.0065716520720928,NA
"HRP","GARCH",20,0.00158205838802517,0.00843539758992977,NA
"ERC","GARCH",20,0.00179943378231024,0.00916999678922486,0.0153759389912139
"MVP","DCC",20,0.001394461015868,0.00652164294705149,NA
"HRP","DCC",20,0.00158774193726624,0.00843983849007825,NA
"ERC","DCC",20,0.0017949862848258,0.0092458062293192,0.0151301386193439
"Naive","N/A",21,0.00107887891560181,0.0117787087500937,NA
"MVP","Historical",21,0.00195294263277626,0.00780305825502984,NA
"HRP","Historical",21,0.00140340381761482,0.00995959481279461,NA
"ERC","Historical",21,0.0012092809545985,0.0107632811245715,0.0135140184919227
"MVP","GARCH",21,0.00183282502180688,0.00588567540537304,NA
"HRP","GARCH",21,0.00130613387625324,0.0077695095207762,NA
"ERC","GARCH",21,0.00114564767865743,0.00855822302238315,0.0139852600134505
"MVP","DCC",21,0.00181654355209751,0.00584926015635919,NA
"HRP","DCC",21,0.00131033280688921,0.00773462123360124,NA
"ERC","DCC",21,0.00116376745411722,0.00854773002074826,0.013637387402775
"Naive","N/A",22,0.00170404040240372,0.0116125105036369,NA
"MVP","Historical",22,0.00100895855250261,0.00777270735073568,NA
"HRP","Historical",22,0.00168720556544711,0.00991247608886323,NA
"ERC","Historical",22,0.00174149401187787,0.010674610780071,0.0176699247440839
"MVP","GARCH",22,0.00121218299165044,0.00567891404426154,NA
"HRP","GARCH",22,0.00168978017564247,0.00756271996792271,NA
"ERC","GARCH",22,0.0017293230051714,0.00832161330793505,0.0157061674595825
"MVP","DCC",22,0.00129031253585751,0.00568620780833778,NA
