Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Ann. Sharpe,Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,GARCH,0.139424813305691,0.21549556706299047,0.1769140609494648,1.2180804957303333,0.6469962013879219,0.9421715112944211,-0.49921445860461733,0.27928841182886655,-0.03154306595801547,0.5042607248328358,22.64342699998437
ERC,Historical,0.16315214579880077,0.2199886571916953,0.1927834450194354,1.141117989511585,0.7416389003030828,1.0960153304116445,-0.49212650886081877,0.33152480685600055,-0.03214042661901471,0.6487556662285875,17.216682432187643
HRP,GARCH,0.1078128980180384,0.1665378665497067,0.13555752398239548,1.2285401920688266,0.6473776820352108,0.9079461687683139,-0.4476224593746543,0.2408567661431849,-0.025408581774624683,-0.3249044901949256,12.601874350264191
HRP,Historical,0.10823981728910925,0.17228472820301782,0.1513580238548988,1.138259629817714,0.6282612418296358,0.8829980744101733,-0.45127937102181315,0.2398510196555768,-0.026176136425676975,-0.30554195798191347,13.937559571966347
MVP,GARCH,0.09829992816081701,0.1302696543410149,0.0823389236772383,1.5821150984637722,0.754588078536627,1.0672733666740193,-0.40312927235481166,0.24384219877314925,-0.019502658759997425,-0.065372909273545,16.873372568595677
MVP,Historical,0.09204806401217969,0.12771291152762643,0.09756643020733811,1.3089841583444646,0.7207420370513451,1.0151033762825834,-0.40091874031059405,0.22959281958451114,-0.019026276894096257,-0.16556514321772858,14.508044065973358
Naive,N/A,0.1365238149077579,0.21137475622052782,0.1895890513721906,1.1149101421767693,0.6458851442284917,0.9151686273922791,-0.5194231285843381,0.26283738130769563,-0.03230312056511039,-0.22645330586642495,11.73111786542348
