Date,HRP GARCH,HRP Historical,MVP GARCH,MVP Historical,ERC GARCH,ERC Historical,Naive
2005-01-18,0.008795414881176907,0.008840489709361797,0.011026235604730998,0.012994292213261944,0.00848211266389778,0.00841434310628323,0.007970499624810473
2005-01-19,-0.006672583456067686,-0.004520940965786134,-0.004790573824600937,0.0018250051919569662,-0.007125607468741804,-0.006078010140358968,-0.0075896359482031245
2005-01-20,-0.00655307587733666,-0.006774582094504846,-0.003915665723474613,-0.005532966686237463,-0.006907282751451447,-0.007017399257192991,-0.007655627181387653
2005-01-21,-0.004570045758197948,-0.0036581905961517755,-0.0034687005865438386,-0.001163485737991358,-0.004586575224836692,-0.0041589213544956745,-0.004578999787715851
2005-01-24,-0.0038181618011391616,-0.003695450060689089,-0.0009688580133350581,-0.0012608556785840958,-0.004122452453696606,-0.0039556279343750155,-0.004908817352300858
2005-01-25,0.0011862679858332887,0.0009172491713027719,-0.0027401834488188113,-0.005965113021471336,0.0022069001263305033,0.002287899938615962,0.003224565001052379
2005-01-26,0.005093493488072601,0.005109633046406809,0.002955348059586873,0.0039044492934708444,0.005643075580943263,0.005627853724592555,0.005852634786001537
2005-01-27,0.0019253943628450513,0.001672040054535509,0.0030401374572177095,0.0012636065469601614,0.0019076623697644414,0.0018771432311752096,0.0017175833969459847
2005-01-28,-0.0016243898177107062,-0.0006568142026359479,0.00024374405098792073,0.0042404141216889416,-0.0023779804516360506,-0.002022496657340605,-0.0027363878068888056
2005-01-31,0.009982957196611856,0.00972844433440064,0.008144075151007056,0.006786928102538813,0.010349646574821922,0.010296611219517068,0.010861284903979002
2005-02-01,0.006791969327080266,0.007706096862658576,0.002496121598361011,0.007907462560880483,0.007152151114319316,0.00759952700155241,0.0072159017250396015
2005-02-02,0.004449240801481167,0.00482533382100224,0.002997765957758029,0.0039002234312712466,0.004479889171643967,0.004778067077446437,0.0045654148279930876
2005-02-03,-0.0017655955400260421,-0.0012405626263511922,-0.0027370213770871645,-0.0005941515153138236,-0.0019104242559197862,-0.0015626933972384643,-0.002106311409197349
2005-02-04,0.013718294380292713,0.01347470518521483,0.017201205142134197,0.018377795122742985,0.013119839168160771,0.012795209073478076,0.012586089639149742
2005-02-07,-0.000752779884759437,-0.0002321933923910042,-0.001700723775712318,0.001523957661409114,-0.0006463251291821534,-0.0005336473964636171,-0.0004674046357064157
2005-02-08,0.001208710904534349,0.0019046438342827036,-0.00019194512646979574,0.0026606507181837894,0.001624715124485703,0.001960599230558096,0.001962605005262942
2005-02-09,-0.009780244300605197,-0.009027671083068005,-0.006832051468428205,-0.004186051066837913,-0.009944980998177545,-0.009702042351554013,-0.01054655459035811
2005-02-10,0.0038084694364114045,0.004125235473711552,0.0020435134333817943,0.001865753846149742,0.0042828347347240465,0.0046233282079091555,0.004586335978635878
2005-02-11,0.005930433261418149,0.0054355151393108946,0.0030365945154607727,0.0013715766442976064,0.006271246603081899,0.006018982064383135,0.0067740955876591374
2005-02-14,-8.773763257055069e-05,-0.0002543408431233481,-6.639242123871415e-05,-0.00013701400744207484,-6.191790359627082e-05,-0.0001204972116877897,-0.0002979224143871209
2005-02-15,0.0014217802498813674,0.0011519722703221516,0.0017138927310954967,0.0018724139803044037,0.0015008449607023108,0.0012103097616770696,0.0015922275591882876
2005-02-16,0.00293784605871908,0.004626384078293793,0.0026336151369282254,0.004351635545361726,0.0034933615445549857,0.004599050225686696,0.0038935407953495788
2005-02-17,-0.005854670203114607,-0.005106881556450128,-0.006694242509784737,-0.005734285773062496,-0.005793282486962289,-0.005381056524572548,-0.005601678104526088
2005-02-18,-0.00045482902647667623,0.0005471616974284687,-0.004882464050490192,-0.004002793014777473,0.0006518773743449563,0.0013965831071585154,0.0014987643872182849
2005-02-21,5.577509005945834e-07,5.6837431135392e-06,1.0134124660851921e-05,1.66939101777153e-06,2.5878742829140874e-06,5.587825867568644e-06,4.282627253014704e-06
2005-02-22,-0.01764456396065582,-0.017892130435227405,-0.019937668847894705,-0.021428691065486147,-0.01703888679936648,-0.01706967116859757,-0.01642474923465203
2005-02-23,0.005192436135810843,0.006371249642032067,0.00289718317350997,0.005202450552273789,0.005590756235374202,0.006314275846023473,0.005941157132014124
2005-02-24,0.009388301602203268,0.010185650965091551,0.005433168971486903,0.006954158476691057,0.009975005094791451,0.010596066670926066,0.010736995365342436
2005-02-25,0.010620337834561185,0.01260707507248123,0.007988058779224457,0.014687094972861744,0.011234060451525228,0.012289249701884846,0.011838603526652572
2005-02-28,-0.003986586701301655,-0.0045929632892874874,-0.0013029379257532088,-0.005156994762204954,-0.004199288554556381,-0.004409798461681084,-0.004258095287675484
2005-03-01,0.005809654770004523,0.004418473361577943,0.005838124647693487,0.006175290859830487,0.004994050404754448,0.003986306486942349,0.004289954160397964
2005-03-02,-0.0005166259222923273,-0.0007683280419132559,0.0006184488334965964,-0.002120794286793731,-0.0003594350967317038,-0.0003459488344881988,-0.0003674604117227462
2005-03-03,0.0007709574655304359,0.001448557259626601,0.0005783089423269736,0.002008850783494742,0.0008263487880062186,0.0013011654012051236,0.000864150427232778
2005-03-04,0.011343220540305184,0.013702742990800086,0.00739693442824542,0.014538479155644482,0.011684022558524895,0.012882302969603483,0.012536470176463185
2005-03-07,0.0022231067081784285,0.0015144501046424784,0.0019048295354960943,0.003044053061545303,0.0022933509911881728,0.0016145730215518434,0.0018913770522126158
2005-03-08,-0.005919677232304634,-0.005734343262204313,-0.006836072391791253,-0.006080854262510029,-0.006004115537282721,-0.005830004793805892,-0.0060776578857890465
2005-03-09,-0.010883258666620026,-0.013852946002043514,-0.009766450480085833,-0.019032777496605494,-0.011481369547083746,-0.012981287463302748,-0.011896130226124721
2005-03-10,0.0002485753158593132,-0.0009948596408821488,0.0019983301912669922,0.0011119344242140688,-0.0004522160977115957,-0.0012780667230163493,-0.0013678557019164705
2005-03-11,-0.004588229775545578,-0.0030722953860450567,-0.007327764645400437,-0.006885209006579067,-0.0040105449906628465,-0.002901315209394787,-0.0028408640954061676
2005-03-14,0.004933841277209079,0.0052121865353814065,0.003591710594284656,0.005298448959760508,0.005209503326407647,0.005325449321094716,0.005027428462828873
2005-03-15,-0.0043165183050386455,-0.004053837027385149,-0.0030013911594036634,-0.002680687537732742,-0.004723958092756403,-0.004636703768598888,-0.004628465687655632
2005-03-16,-0.007554686893022449,-0.008319625272545036,-0.004657034502012072,-0.009047409229673972,-0.007467392034935318,-0.00777411440317558,-0.007675864727986884
2005-03-17,0.003245193858606452,0.0033687688356001696,0.003301766320048402,0.0002447949250556941,0.003594545489771863,0.003913364743055167,0.0038294289602053347
2005-03-18,-0.002419515718971259,-0.0015940894493893837,-0.004101122644750717,-0.0025059095893627563,-0.001913809750863787,-0.001350906094769406,-0.0015719457000398507
2005-03-21,-0.0048003218239243625,-0.00492338074332755,-0.0060977033237424455,-0.00659657812968367,-0.004637041524919514,-0.00468203994494878,-0.004478284593805677
2005-03-22,-0.007062028761514851,-0.007667549122280957,-0.0074771844678629355,-0.009577179040858261,-0.007428431395319859,-0.0076525631316610495,-0.007414646815131133
