Date,Historical,GARCH,DCC
2007-12-12,-137.83577825754057,-137.97624645818811,-141.72875028889214
2007-12-13,-141.07407472848854,-139.70841307606807,-142.32804677066662
2007-12-14,-141.44756926353432,-142.05516761266045,-146.88278483917293
2007-12-17,-138.62467629958496,-137.39316534516587,-143.29846899889463
2007-12-18,-141.92350734596812,-140.91326521944924,-145.43233117556744
2007-12-19,-139.53101855452883,-139.47485492963798,-141.1300636657245
2007-12-20,-141.78668360738882,-142.39092292550492,-145.55522108662223
2007-12-21,-144.36488258246598,-145.81352218443135,-151.38781413795905
2007-12-24,-142.12824170214643,-145.88738230124068,-149.82215908417274
2007-12-25,-150.90995596932356,-150.52047451513442,-156.0583861563345
2007-12-26,-141.22283974230123,-145.09784282472637,-148.66941196087953
2007-12-27,-144.685792317015,-147.73108876716987,-153.20400221893829
2007-12-28,-145.2712226344155,-147.10370888900673,-151.98165322720436
2007-12-31,-141.25725963934227,-142.9096071698498,-147.56488648761405
2008-01-01,-151.05506322732288,-153.11728708903664,-158.66424863905013
2008-01-02,-141.89594733676802,-141.5379716368776,-142.78667430070863
2008-01-03,-116.96918245482908,-130.31515061523294,-128.80036226767402
2008-01-04,-113.11269419871611,-126.98612541880473,-126.87542636299938
2008-01-07,-117.16797620213457,-110.84139316561955,-101.42989136996245
2008-01-08,-121.20437923465163,-126.44852037326399,-122.41030498548179
2008-01-09,-140.24415368823534,-135.794912185202,-137.90393891881672
2008-01-10,-137.56416386203037,-138.859576401085,-139.4186282926193
2008-01-11,-130.6667120570156,-128.3574294561161,-126.82981298781914
2008-01-14,-133.21649450731982,-133.4693643631404,-133.366850953947
2008-01-15,-123.68545979673821,-135.44631870740278,-137.79775241244107
2008-01-16,-105.19924799691952,-115.47748679477762,-114.13900324323932
2008-01-17,-110.1630309297208,-121.98664877048299,-122.50057458533126
2008-01-18,-137.42850051382484,-132.79798283991906,-136.71229958171608
2008-01-21,-151.0508538357491,-143.969823787177,-149.61436626177223
2008-01-22,-67.475424405301,-82.56821709547246,-83.9877643841975
2008-01-23,45.771281440000706,-66.76440606181224,-58.458139685373865
2008-01-24,-98.60666998432725,-113.9874214736071,-115.67308210172058
2008-01-25,-130.43918744069953,-129.61432247649992,-131.55433867889835
2008-01-28,-130.34669456017227,-135.79800607429314,-139.56302988461164
2008-01-29,-141.85848183296017,-136.58508471103127,-139.08595451160824
2008-01-30,-138.84612414733448,-138.0922695526072,-140.98411810437182
2008-01-31,-121.23210856868204,-129.0708044348969,-130.35242116172412
2008-02-01,-134.56503749798972,-136.0608410888634,-140.2290792317377
2008-02-04,-121.08697840538757,-129.45045088889344,-131.20527101739447
2008-02-05,-116.61098154973178,-129.3675144657972,-133.47809861009478
2008-02-06,-142.4190717068705,-135.86905394604003,-139.9386685620007
2008-02-07,-129.04825504989685,-130.29717376365005,-131.29033937479664
2008-02-08,-123.14081263974339,-130.83191137720675,-135.1504971371904
2008-02-11,-140.35202569879607,-135.74339296489302,-139.22490071696103
2008-02-12,-132.76952739952125,-134.80311156938757,-136.76167208873838
2008-02-13,-137.14982615984994,-134.80876369670818,-138.40822450787115
2008-02-14,-139.69778494951711,-137.31799915377854,-140.03658900764077
2008-02-15,-132.7339950704802,-137.40729523660607,-138.19791279540613
2008-02-18,-150.82232305943876,-145.52459669569967,-150.6766485338765
2008-02-19,-133.43168684732944,-134.2975566284329,-135.18294116760893
2008-02-20,-141.098241008532,-141.3707010111709,-145.83261099423262
2008-02-21,-136.52258677691012,-135.45629779184088,-134.42641251892573
2008-02-22,-143.8991138075528,-142.856802444722,-145.75173392371323
2008-02-25,-130.3833270662235,-137.85828908631004,-138.26914047242678
2008-02-26,-142.73633531442178,-141.8468755599827,-144.59255032462417
2008-02-27,-139.32088832716673,-137.20109349656218,-139.2499492455854
2008-02-28,-130.52061079722466,-136.12855259963314,-142.9851157552235
2008-02-29,-128.4914994533023,-133.67698234591006,-134.54664494452288
2008-03-03,-139.64766351957053,-139.69081812388322,-142.5843726335938
2008-03-04,-133.31524900598734,-135.84876059489503,-138.7152495019712
2008-03-05,-137.64270622968874,-138.40068279525124,-142.35654520381692
2008-03-06,-127.54520534063596,-137.28880084776114,-142.4058474714982
2008-03-07,-136.52639316129134,-136.19584326420647,-140.12633993381783
2008-03-10,-129.26185860529012,-136.89323866247406,-138.1738710374139
2008-03-11,-72.33676330456956,-121.6280942379023,-122.64988382950666
2008-03-12,-134.29606283954396,-136.3940623367739,-139.042439790199
2008-03-13,-139.58585923050217,-139.3810160413588,-142.9047508909133
2008-03-14,-132.12609495200013,-136.3828570213807,-140.02115729873924
2008-03-17,-125.30153212693587,-133.20097011374833,-133.09888476238677
2008-03-18,-75.52518881557539,-124.6591287707495,-127.61726369945663
2008-03-19,-106.57582711679821,-118.37220121539113,-123.09279051309247
2008-03-20,-78.80548524436513,-122.47640611379242,-129.2093992469026
2008-03-21,-150.74537023467352,-139.16118568005575,-145.29550110772922
2008-03-24,-129.89969996778655,-130.34770712972207,-133.1077371068925
2008-03-25,-137.0320207158074,-133.82136003584182,-138.30346993639324
2008-03-26,-124.294985308007,-132.9572133772583,-137.42766554687884
2008-03-27,-138.99812787675864,-136.25884694530336,-140.49220878161452
2008-03-28,-138.7009150389743,-137.05159046221254,-141.4826602507116
2008-03-31,-140.5599424273311,-136.24928358221098,-139.4695010992211
2008-04-01,-102.4405376375479,-127.66867056729802,-131.71898060852226
2008-04-02,-140.2309245357283,-135.36995917094825,-138.6945526290342
2008-04-03,-141.56578590189588,-137.68045806494197,-141.85685155916778
2008-04-04,-132.83167407977322,-134.45394938980138,-140.00260777394695
2008-04-07,-143.54353570101821,-140.00308036886267,-144.216358714683
2008-04-08,-138.33484997947204,-139.37500273468342,-143.1205307586204
2008-04-09,-127.46222011342971,-132.29908607716905,-133.23325943933008
2008-04-10,-141.24546291317992,-137.28738138901653,-139.31903326768028
2008-04-11,-143.26876715397287,-137.92451134380525,-143.23210472050943
2008-04-14,-129.09031292291294,-136.14439702287444,-134.65145069189833
2008-04-15,-139.61941732928605,-138.7924133449712,-140.80408204237654
2008-04-16,-117.77521725639573,-126.91824768644626,-128.46900042380878
2008-04-17,-134.54556042954056,-134.80714494061218,-136.36869775455887
2008-04-18,-135.65478140600118,-135.84518239515552,-135.10525180138072
2008-04-21,-139.5268482858546,-139.61735998753522,-141.5026569793059
2008-04-22,-143.85842114481176,-139.061738716333,-142.7702477829926
2008-04-23,-134.70400092708698,-132.62017038269389,-133.32271079509752
2008-04-24,-111.89482177678588,-128.10564210213565,-132.69273440174612
2008-04-25,-134.1112878175396,-133.55617496507148,-131.59215358763947
2008-04-28,-145.00625888010302,-143.8808978077386,-146.53336691309923
2008-04-29,-128.81998342002868,-131.79164339082377,-130.88249464634382
2008-04-30,-133.86668413228958,-138.43471976459068,-141.19689272208956
2008-05-01,-121.14520796328208,-123.51937138410537,-121.8164075750283
2008-05-02,-139.05136165583505,-138.09323256514543,-139.16958547475147
2008-05-05,-136.87730599677457,-137.71977323346246,-139.8718396128212
2008-05-06,-145.27119719430274,-144.7163334176971,-147.98508701820725
2008-05-07,-132.22757975884102,-140.48199459844392,-143.24563678174584
2008-05-08,-130.68752791187694,-135.33829837989433,-140.97898874866786
2008-05-09,-145.24051292454013,-145.9832444796663,-149.8275588170229
2008-05-12,-142.600019064174,-143.17564262322642,-144.15822931452692
2008-05-13,-128.9243757039312,-132.5447700216943,-131.13900488563763
2008-05-14,-140.94068898957218,-142.60882947310773,-147.98729098065485
2008-05-15,-138.56349409196076,-139.29271878122861,-141.8501382892869
2008-05-16,-139.39365892681076,-142.79272901816387,-148.10103756227662
2008-05-19,-144.75474894952046,-146.77799963921512,-150.0216823524793
2008-05-20,-140.04893079255567,-143.39163674551335,-145.44496926002648
2008-05-21,-134.04902038836866,-139.89542663037454,-140.30783052689964
2008-05-22,-142.41382947943393,-143.3849953737126,-145.988867236843
2008-05-23,-142.1305084002891,-139.57410564360296,-141.80741629704602
2008-05-26,-150.83955170980218,-153.04211914736786,-157.57018628441165
2008-05-27,-140.68369431317208,-144.1156199701637,-148.28909221079329
2008-05-28,-136.99182637711098,-136.78636223111363,-137.9512373456805
2008-05-29,-128.27280345892024,-129.99290374642544,-134.54749952821783
2008-05-30,-139.91127783073915,-142.2575619989127,-146.06414033299637
2008-06-02,-146.61886520660417,-150.70237721795237,-155.0556131759091
2008-06-03,-141.47617281295578,-144.11632043396412,-143.77762887048064
2008-06-04,-136.42100837611414,-135.7831829508036,-138.78760369818065
2008-06-05,-130.6761066340128,-136.1347172243956,-136.3813289959259
2008-06-06,-120.30366331652598,-122.82407437820518,-128.95529240274513
2008-06-09,-117.14006794791933,-128.3785755828452,-127.24686689555907
2008-06-10,-137.3151477878241,-138.41409408495667,-140.5509886329124
2008-06-11,-124.77189086046961,-132.1582693461457,-128.84343004612663
2008-06-12,-136.86379128943767,-137.7414710658373,-140.19934539155233
2008-06-13,-135.59485576210162,-135.112071072832,-133.67325848551505
2008-06-16,-137.12792885779328,-136.48158507380649,-137.65044946306324
2008-06-17,-128.55084356031236,-138.98927696936806,-140.8750487341894
2008-06-18,-144.36824827513604,-143.8861459597315,-147.2568375302243
2008-06-19,-130.7559126845481,-134.60348576702765,-134.24471538307418
2008-06-20,-136.90604825289574,-136.167414454959,-138.86356385582076
2008-06-23,-122.58451196898106,-130.3683827148598,-136.88365611713934
2008-06-24,-124.74934240804117,-129.77288473146555,-131.53447820081948
2008-06-25,-123.07026077334659,-124.33960699617644,-121.65582656023156
2008-06-26,-128.78240067194457,-126.21392966779447,-126.88754083888178
2008-06-27,-139.7579561395145,-137.41528227032333,-140.57464307634964
2008-06-30,-129.7099150315124,-131.74143036215148,-134.59049614369536
2008-07-01,-130.55623336363146,-132.287857502021,-129.6533292746022
