Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Avg QLIKE,Avg Cov RMSE,ERC RC RMSE,Avg Turnover,Ann. Sharpe,Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,DCC,0.07389318570695247,0.18482742309187575,0.15243850524814265,1.2124720246437062,-142.334251488018,0.00024338086279368742,0.41529047991869183,0.03436370268019478,0.4022730548670604,0.5579402249319642,-0.5191389419747157,0.14233797492801337,-0.028639366266344574,-0.3528464915516747,13.783976623363728
ERC,GARCH,0.07511526086251719,0.18523838058111936,0.16027611063092592,1.1557454186524094,-138.843055327034,0.0002462456921926384,0.4255789904262195,0.033911993530083236,0.40792126744492235,0.5663341010238397,-0.5133150332913891,0.1463336469631061,-0.028660347449575373,-0.33778331697187247,13.4706145966685
ERC,Historical,0.07668401162017413,0.19026092359154737,0.18234028842734284,1.0434387552664242,-138.29490994823072,0.0002807522549652352,0.5609114572821786,0.005789186873203044,0.4097878790265221,0.5701293754164901,-0.5252717184577859,0.1459892260053916,-0.029432259001028218,-0.3211133047931548,13.046424876605325
HRP,DCC,0.07124161964991704,0.17329911940346798,0.14113352965069043,1.2279089159917442,-142.334251488018,0.00024338086279368742,,0.08886183161412903,0.40281855327353283,0.5566793887621515,-0.48570236914450293,0.14667752141172222,-0.026813727674487,-0.3992302695565574,15.072624642682975
HRP,GARCH,0.07219078432671422,0.1733399184333101,0.14841928327611298,1.1679069902987997,-138.843055327034,0.0002462456921926384,,0.07080310909591951,0.4078730266105355,0.5639338372544871,-0.48264840408090715,0.14957220145415162,-0.026778993235703985,-0.40100282452970143,14.929481800358229
HRP,Historical,0.0754560769910042,0.18104773425878912,0.1722082629018251,1.0513301232357437,-138.29490994823072,0.0002807522549652352,,0.007925803418917205,0.4148655839158842,0.5761515157149832,-0.5042412200441604,0.14964281774583188,-0.028001622072149387,-0.35620756764856115,14.054408395328416
MVP,DCC,0.06651237015124245,0.14727021667580834,0.11458109738243248,1.285292426413676,-142.334251488018,0.00024338086279368742,,0.2550340099061989,0.4156117338292539,0.5684630578971853,-0.4172957923284655,0.15938902661853024,-0.022411434278861123,-0.6822612672785108,17.993113125266934
MVP,GARCH,0.06559683311831188,0.15005850782087646,0.11860051453411913,1.2652433120575328,-138.843055327034,0.0002462456921926384,,0.2817389756055147,0.40485167708709985,0.5574619624661766,-0.41523900382155887,0.15797367904894813,-0.022683334641673176,-0.496387561317437,16.707606592072466
MVP,Historical,0.061411069586244205,0.15235921078711326,0.1400836339218641,1.0876303428286007,-138.29490994823072,0.0002807522549652352,,0.004180389091941914,0.3750839784623412,0.5225024392846266,-0.44255677295729856,0.1387642746395605,-0.022955993247924765,-0.2086657528926912,15.52596454479627
Naive,N/A,0.07571172371947088,0.19982209370620235,0.19326409390860247,1.0339328411448288,-138.29490994823072,0.0002807522549652352,,0.00594599802805016,0.39502484316062986,0.5500576468815256,-0.5428763590335977,0.13946402796807958,-0.030893259383060395,-0.3034584591345209,12.141168249416246
