"Model","Covariance Type","Ann. Return","Ann. Std","Ann. Std (fcst)","Real / Fcst Std","Avg QLIKE","Avg Cov RMSE","ERC RC RMSE","Avg Turnover","Ann. Sharpe","Ann. Sortino","Max Drawdown","Calmar Ratio","CVaR (95%)","Skewness","Excess Kurtosis"
"ERC","DCC",0.0751950321005725,0.170958245328373,0.144476310265342,1.18329603666092,-161.31246657563,0.000123009067964945,0.0204189218854177,0.0838672355421706,0.509858148435355,0.712793578584387,-0.546394290915454,0.137620457151167,-0.0260019029526725,-0.30791093745716,13.301684657306
"ERC","GARCH",0.0751832719046848,0.171222778193092,0.148594878585321,1.1522791352111,-160.001804586934,0.000126820801198555,0.0204058233615697,0.0826770866348691,0.509270700980314,0.712045092902906,-0.548826888857982,0.136989045965165,-0.0260460906477757,-0.306100167359797,13.2517535438843
"ERC","Historical",0.0782100816939844,0.17254499450528,0.156945044082491,1.09939753442989,-160.962191256039,0.000154938838627971,0.020376312623636,0.0257648598144869,0.522965185675114,0.733219586665981,-0.546532089124121,0.143102451347962,-0.0262025954739921,-0.274069105573485,12.769268813295
"HRP","DCC",0.0718194294389827,0.159015391598208,0.132246800824559,1.20241390042517,-161.31246657563,0.000123009067964945,NA,0.20591017889108,0.515965026745891,0.718368955247227,-0.515373855176681,0.139354041183097,-0.0242420418738982,-0.367855320427768,14.9822691416072
"HRP","GARCH",0.072421162575218,0.15974939079165,0.136319608662733,1.17187389517002,-160.001804586934,0.000126820801198555,NA,0.19480573591345,0.517831319357274,0.721768771517384,-0.517127840832561,0.140044988602087,-0.0243433410700943,-0.343646612511762,14.9921610726786
"HRP","Historical",0.078767458691898,0.161594358926208,0.146092715751403,1.10610825526157,-160.962191256039,0.000154938838627971,NA,0.0884018473234185,0.550243639320196,0.771196290265489,-0.510177546552028,0.154392248785228,-0.0245864825644581,-0.278914917525707,13.9056728553603
"MVP","DCC",0.0599691270918292,0.138946297127507,0.105807559512139,1.31319820406184,-161.31246657563,0.000123009067964945,NA,0.53505956554315,0.488832768180512,0.679269175003284,-0.453272183844142,0.132302685294383,-0.0209698157307751,-0.294849717656544,22.7311967541717
"MVP","GARCH",0.0562639361608706,0.139582801755617,0.107518798340517,1.29821765040149,-160.001804586934,0.000126820801198555,NA,0.554807374598186,0.462095721777567,0.64204786499689,-0.468446801672475,0.120107418729286,-0.0210826494377886,-0.159965416632132,23.5717308926404
"MVP","Historical",0.0672702268511653,0.132612805510682,0.118034470896676,1.12350912833563,-160.962191256039,0.000154938838627971,NA,0.101261051886537,0.557423689211307,0.781002508830573,-0.375043698065213,0.17936637036751,-0.0198305390494643,-0.276813555753656,17.461942079299
"Naive","N/A",0.0803261669422883,0.186500795278479,0.171664435955846,1.08642651717592,-160.962191256039,0.000154938838627971,NA,0.0214266614228251,0.507821735549173,0.713175314543482,-0.572388125746951,0.140335138569594,-0.0282035683514804,-0.260692509205129,11.2490459727652
