Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Avg QLIKE,Avg Cov RMSE,ERC RC RMSE,Avg Turnover,Ann. Sharpe,Ann. Sharpe (rf=0),Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,DCC,0.140760233612234,0.1605982809704108,0.1497126798820831,1.072709947460038,-3160.116563689288,0.0001559304979457,0.0011358468848437,0.1064770392309239,0.8055623237537222,0.9008425198178822,1.1331088589662046,-0.3602214528352786,0.3907602740045595,-0.0239282655822146,-0.5419752356200113,15.362585816277033
ERC,GARCH,0.1416389716657167,0.1629421917033192,0.1613817696765526,1.0096691344375144,-3076.1340321454254,0.0001633178556929,0.001145278588444,0.1054645517773774,0.8010511840146086,0.894961070041369,1.1271749555879027,-0.3652987441031926,0.3877346252953592,-0.0241419845821347,-0.5290110409548813,18.587928986072825
ERC,Historical,0.1453402557918595,0.1630162783183843,0.1774901099483632,0.9184527428926056,-3117.417992862072,0.0002020164501094,0.0011909988103605,0.0517501199105617,0.8206166246839571,0.9144838773887767,1.156301865520408,-0.3675792244984106,0.3953984504706085,-0.0242066787606506,-0.5279131788630664,16.339758026629934
HRP,DCC,0.134271257977006,0.150590905876247,0.1393625645583829,1.0805692787976808,-3160.116563689288,0.0001559304979457,,0.2843956342215762,0.8107916737363953,0.9124190673494486,1.1376407699921511,-0.3379676012961649,0.3972903244632096,-0.0224740818328786,-0.5766633004384085,14.803964938042787
HRP,GARCH,0.1329797851520446,0.1507991000182225,0.1496819264684194,1.0074636502626708,-3076.1340321454254,0.0001633178556929,,0.2836660135388285,0.802331335793413,0.9038174155506145,1.1243389480387098,-0.3383766306336996,0.3929934076800898,-0.0225488282720553,-0.5926645251262541,14.56169745129056
HRP,Historical,0.1367186675252565,0.1551542347714826,0.1655175482112783,0.937388430702422,-3117.417992862072,0.0002020164501094,,0.2026877946354545,0.8053768720816825,0.9040089899624641,1.1314558786271516,-0.3577194233144412,0.3821952586708678,-0.0230757739451944,-0.5639546369857953,17.188275111324295
MVP,DCC,0.102135249843942,0.1179074890791349,0.0939329546694754,1.255230280938349,-3160.116563689288,0.0001559304979457,,0.8791239611398223,0.7545184315326435,0.8841716026814098,1.0493140793218352,-0.2688225739335242,0.3799355401946213,-0.0169319975553892,-0.9285942705470176,16.942602363518716
MVP,GARCH,0.0974433036257385,0.1193278408651484,0.0990502268418057,1.2047205207891978,-3076.1340321454254,0.0001633178556929,,0.8746155456489406,0.7111651864028289,0.839289389981438,0.9920571606247712,-0.2654449484501069,0.3670942099094191,-0.0169824628154841,-0.8774204070962689,16.749064815005173
MVP,Historical,0.0932855936547196,0.1261149925457129,0.1139167005917999,1.1070808045751197,-3117.417992862072,0.0002020164501094,,0.1490541452705929,0.6494484352225763,0.7706553341261638,0.8996274339774853,-0.3308612305400651,0.28194779274214,-0.0181269529035522,-0.818479981004886,21.07884962247572
Naive,,0.1567559698371057,0.1779209066920079,0.1984147617951816,0.8967120444176985,-3117.417992862072,0.0002020164501094,,0.0523459685054196,0.8219785144650958,0.9079684292779361,1.1618170216744537,-0.3831841284716534,0.4090878462590132,-0.0264206735182783,-0.4550255627283655,14.635197706268242
