Model,Covariance Type,Window Index,Mean Return,Forecasted Std
Naive,N/A,0,-0.0016867564810386687,0.011114941447157486
MVP,Historical,0,-0.0006076375690771055,0.007211791955674932
HRP,Historical,0,-0.0013793439511304469,0.009145670135612604
ERC,Historical,0,-0.0015784148903712878,0.0100920990838449
MVP,GARCH,0,-0.0004835640378169607,0.0073620974042632875
HRP,GARCH,0,-0.0014075213352902952,0.008771541717144723
ERC,GARCH,0,-0.0015684908367666237,0.009346177144415789
MVP,DCC,0,-0.00047641625336814007,0.007612244212102401
HRP,DCC,0,-0.0014096515634039234,0.009415616951954354
ERC,DCC,0,-0.00158905071051352,0.010078498921082538
Naive,N/A,1,0.003681436228281589,0.011179757109996058
MVP,Historical,1,0.002518581815274068,0.0072082192091421134
HRP,Historical,1,0.003236265252841878,0.009180941869551483
ERC,Historical,1,0.003406654913499915,0.010152920434139028
MVP,GARCH,1,0.002519264544685769,0.006725028688830949
HRP,GARCH,1,0.0032126864772962,0.008452399699669912
ERC,GARCH,1,0.0033772928320534752,0.009204455102331375
MVP,DCC,1,0.0025924387813363267,0.006955421846115987
HRP,DCC,1,0.003140035206711831,0.009067030149233286
ERC,DCC,1,0.003391610338372015,0.009991127241748061
Naive,N/A,2,0.0035583524959334756,0.011312591822073396
MVP,Historical,2,0.003207893475103171,0.007345490206428026
HRP,Historical,2,0.0033425316796119884,0.009339336555081752
ERC,Historical,2,0.0033857046142572204,0.010289103767197742
MVP,GARCH,2,0.0031554482474724934,0.007179992816847254
HRP,GARCH,2,0.0033134977517012124,0.008870099948984104
ERC,GARCH,2,0.0033822278495086603,0.009579101948000924
MVP,DCC,2,0.003271969614076908,0.007523306748255605
HRP,DCC,2,0.003273296258584841,0.00966199830528939
ERC,DCC,2,0.003381448367332585,0.010556831344312278
Naive,N/A,3,0.0026364967513257676,0.01135712506410514
MVP,Historical,3,0.0030090678983946783,0.007418291504567719
HRP,Historical,3,0.0027122604290133554,0.00941335456839644
ERC,Historical,3,0.0027132951197024963,0.010346517499638476
MVP,GARCH,3,0.0030449421856802894,0.00689931813587373
HRP,GARCH,3,0.002689700278266576,0.008480339844769261
