Date,Historical,GARCH,DCC
2003-02-12,-137.29841678393188,-139.31305697992545,-140.70701842895875
2003-03-13,-134.17037152874173,-135.57559464150603,-136.8299872927437
2003-04-11,-137.74906988224447,-139.3620899176975,-141.41554245045904
2003-05-12,-137.28145983555646,-139.30909496818722,-140.669285255359
2003-06-10,-138.90835585457864,-141.67494503735568,-143.5311083557148
2003-07-09,-137.77427786871638,-140.60547705618634,-142.11943763486863
2003-08-07,-140.95832589302577,-145.45145675232922,-147.08893907428902
2003-09-05,-139.47953776736185,-143.74243614897745,-144.84876701348134
2003-10-06,-140.05057258492593,-143.39430293846434,-144.95422481919618
2003-11-04,-140.0682208304359,-144.65592637576268,-145.4853041974507
2003-12-03,-141.03477466806626,-146.47419199116018,-147.63418392081536
2004-01-01,-139.22853582800403,-144.472291652983,-144.87829424514607
2004-01-30,-140.82283172391593,-146.53858974536908,-146.78652665336767
2004-03-01,-141.65456937500628,-145.7316016646883,-145.94910452454212
2004-03-30,-135.84714457696455,-137.91284688428766,-137.53152204675965
2004-04-28,-138.11710492689437,-142.1210090121644,-142.57681964749514
2004-05-27,-143.98457453031952,-148.5639963182389,-149.00077790985324
2004-06-25,-140.90084174235855,-144.233151614418,-145.0000570113208
2004-07-26,-140.79560334112975,-144.47084163463106,-144.45115555563902
2004-08-24,-143.41739605616038,-147.24423183237997,-147.68666211743684
2004-09-22,-141.04429143800016,-143.33671569129095,-143.88368061665363
2004-10-21,-140.86259112184473,-143.68366104119778,-144.11940709499603
2004-11-19,-143.6435331511804,-147.52074178981587,-147.99153683913468
2004-12-20,-145.69500626657168,-151.73521243056643,-151.66515422858564
2005-01-18,-145.69684591947075,-150.4312869964105,-150.7201179143014
2005-02-16,-143.33746291519964,-146.07480198182014,-146.74431703051437
2005-03-17,-145.4399409535696,-149.19436250473265,-149.54472070422952
2005-04-15,-140.9786952437098,-142.97909906782166,-143.5139675549341
2005-05-16,-148.42559435216833,-152.4413173875613,-152.55980065139866
2005-06-14,-147.1247331246758,-152.6926392085527,-152.78723598390187
2005-07-13,-144.06608611945106,-147.51669067020617,-148.27717727169485
2005-08-11,-148.03872479788245,-153.31238228572914,-153.22098335384186
2005-09-09,-142.77438280365322,-143.89852103896916,-145.21354756122653
2005-10-10,-140.82838868621087,-142.73261662480638,-142.67923565909504
2005-11-08,-144.74273931248416,-147.15635957802883,-147.16626157119433
2005-12-07,-147.43931130834267,-150.80501473330804,-150.9379768585224
2006-01-05,-145.14137507837862,-146.73072866948615,-147.30759190977977
2006-02-03,-146.5654542982211,-150.88630951596718,-150.65893073606975
2006-03-06,-147.41061030181135,-152.14238355899147,-151.98803364707518
2006-04-04,-145.1133906538707,-145.70352489405855,-146.33219426232202
2006-05-03,-145.57013604379716,-147.3188115272564,-148.3715259374191
2006-06-01,-146.29307655887584,-147.25058089882205,-147.93815572152192
2006-06-30,-139.4292758734591,-141.5976808231622,-141.97597329315485
2006-07-31,-143.62833817603467,-145.23484207600978,-145.39019905922822
2006-08-29,-146.81468834693317,-148.22160337602577,-148.16372959808422
2006-09-27,-147.00572581796348,-148.1216354093086,-148.64249543048726
2006-10-26,-147.15414810179087,-146.87380922748778,-146.91257196794137
2006-11-24,-151.82402595406958,-153.24443844578678,-153.07730289395883
2006-12-25,-152.82638201257606,-154.7190084659358,-154.67600632024053
2007-01-23,-151.6433093045421,-152.26997250023578,-152.21169918200525
2007-02-21,-149.09912544467826,-148.30169874694133,-148.3872248958333
2007-03-22,-151.36126350026646,-151.71985138381083,-152.05833891853885
2007-04-20,-150.3489766775667,-150.82611120169867,-150.81766169834566
2007-05-21,-151.5398563743888,-152.00413285997905,-152.28054866145814
2007-06-19,-152.69269204863357,-152.98082307501468,-153.25040188843855
2007-07-18,-131.16322214057936,-133.77460176192153,-133.67027965181381
2007-08-16,-141.9788362643228,-144.66470166969862,-145.39098452216578
2007-09-14,-148.95183677079808,-149.3245253425739,-149.53537559252905
2007-10-15,-131.7403521065441,-134.41268945267115,-134.30730989149967
2007-11-13,-129.88910513986679,-140.77419364464237,-141.15868510747165
2007-12-12,-140.63976234956564,-141.72578546126906,-141.71769703649557
2008-01-10,-106.65683268519476,-122.3114142540944,-122.51377833677903
2008-02-08,-139.998190845646,-139.7404524483223,-139.86691255493213
2008-03-10,-122.63219017740596,-137.12834611884838,-137.038517505384
2008-04-08,-134.9252755496421,-137.58851604412945,-137.6447248043772
2008-05-07,-144.70460354858056,-144.24135812591697,-144.09825970663363
2008-06-05,-130.4290093619428,-131.73975861552282,-132.36499574400574
2008-07-04,-87.91736648790246,-115.62098498747,-115.26488665866799
2008-08-04,-132.3407062089588,-134.98593560295728,-135.07372421913092
2008-09-02,-88.24619731315269,-114.95718276779097,-116.4982399998637
2008-10-01,6.15644310162989,-98.66487955563728,-94.76815337828009
2008-10-30,-81.07393588713765,-112.19024478690503,-111.63341385392837
