Model,Covariance Type,#Rolling Windows,Mean Return,Forecasted Std
MVP,GARCH,15,-2.903765798910077e-05,0.005185808405717332
MVP,Historical,15,0.0020657872497957985,0.00496622316800519
ERC,GARCH,15,-0.0011014219295149015,0.006679537999434364
ERC,Historical,15,-0.00035839675447563483,0.006430605272341327
Naive,N/A,15,-0.0012196438551102737,0.006945082590453976
HRP,GARCH,16,-0.010031492410929127,0.005776773642143063
HRP,Historical,16,-0.010047800277461523,0.005946140344936919
MVP,GARCH,16,-0.0073388505815930845,0.00494410626486224
MVP,Historical,16,-0.007610000639375983,0.00496485592314226
ERC,GARCH,16,-0.010604787909735179,0.006129003812892145
ERC,Historical,16,-0.010617785184786021,0.00642256374869699
Naive,N/A,16,-0.011054968109743893,0.006937685688390411
HRP,GARCH,17,0.013301797622819345,0.005776909549511329
HRP,Historical,17,0.013366572341287226,0.005985750842804479
MVP,GARCH,17,0.009623569078157042,0.0049198377720509985
MVP,Historical,17,0.010053881871730857,0.004982201320483838
ERC,GARCH,17,0.0142893106251593,0.006132497044046733
ERC,Historical,17,0.014321482913262178,0.006464492783214313
Naive,N/A,17,0.01495737469975765,0.006977643789644477
HRP,GARCH,18,0.004636488439654331,0.006125522987442577
HRP,Historical,18,0.004099466314100469,0.005992947227705233
MVP,GARCH,18,0.0026255911197762072,0.0051110506932024145
MVP,Historical,18,0.0021982733728902536,0.005016866349500376
ERC,GARCH,18,0.005550651977045575,0.006550986319568796
ERC,Historical,18,0.0051584766159561155,0.006519586959861197
Naive,N/A,18,0.0058828902131620245,0.007029806880335028
HRP,GARCH,19,0.006518041999966037,0.00620485665575535
HRP,Historical,19,0.007169638222220758,0.006006199891492045
MVP,GARCH,19,0.0038299656206848254,0.005162965258529111
MVP,Historical,19,0.005318088384881655,0.004994053362106259
ERC,GARCH,19,0.0071440369047700136,0.0066399709756647905
ERC,Historical,19,0.007491793100497053,0.006488631265872621
Naive,N/A,19,0.007561455942993664,0.006999036488714051
HRP,GARCH,20,-0.002939044586128486,0.005746740879683176
HRP,Historical,20,-0.002818059646415754,0.006017963885777028
MVP,GARCH,20,-0.0036014479416916815,0.004780703718625334
MVP,Historical,20,-0.002000692398592133,0.0049998463472908615
ERC,GARCH,20,-0.002620238356273335,0.006171490337594107
ERC,Historical,20,-0.0025977663341925847,0.006500287833032223
Naive,N/A,20,-0.0025225500390471944,0.007008752143252089
HRP,GARCH,21,-0.0003096749156675801,0.005999618130416079
HRP,Historical,21,-8.277130171541209e-05,0.0059667538267922935
MVP,GARCH,21,-0.004067272171028778,0.0049585997034174885
MVP,Historical,21,-0.0032690808331270345,0.0049238721075065845
ERC,GARCH,21,-5.484992473235222e-05,0.00633321395691448
ERC,Historical,21,4.358889313569141e-05,0.006356695546302261
Naive,N/A,21,0.0003881228078975313,0.00684564138283191
