Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Avg QLIKE,Avg Cov RMSE,ERC RC RMSE,Avg L1 Dist,Avg Turnover,Ann. Sharpe,Ann. Sharpe (rf=0),Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,DCC,0.0770195076222253,0.1770107982759331,0.1472421532729102,1.2055836383676946,-150.24613077374624,0.0002340489767787,3.904594087651249,0.6006618003405093,0.034427835775445,0.405909194878369,0.50801789660524,0.563067651163323,-0.5410914901431593,0.1423410070667492,-0.0272515867931904,-0.3582915310645279,14.288601398777471
ERC,GARCH,0.0772080894411706,0.1771471169746986,0.146399052992613,1.2134002934365002,-149.23432569906765,0.0002333706370677,0.4831070754116957,0.60141486567255,0.0339745898613008,0.4067157908264178,0.5087463536466093,0.564465601306171,-0.5368588209765816,0.143814512166763,-0.0272504271114614,-0.349620107385869,14.20711960616716
ERC,Historical,0.080483271198493,0.1817861039595417,0.1774516063272033,1.0271827786969234,-146.07028640866722,0.0002718492828274,0.3959401502949575,0.5945393969874617,0.0058961188955352,0.4176269187703949,0.5170558083784704,0.5810764338827477,-0.5489901676231849,0.1466023909807708,-0.0279314925317333,-0.3309651689162854,13.558982865282468
HRP,DCC,0.0749511190195528,0.1654691318132554,0.1357733526234912,1.222278366241907,-150.24613077374624,0.0002340489767787,,1.4365780904439156,0.0940581051919617,0.410625443763789,0.5198584753911489,0.5675695443934053,-0.5032838303514766,0.1489241547204278,-0.0254913159195403,-0.4035751252702427,15.772069628180768
HRP,GARCH,0.0757747788334852,0.1657014209329757,0.1356372720553858,1.225144387159713,-149.23432569906765,0.0002333706370677,,1.4361643114892664,0.0716613295928032,0.4148968638458069,0.5239781729208439,0.574160401062939,-0.4966098622700439,0.152584120031593,-0.0254719402314692,-0.3900846263753754,15.629411526779398
HRP,Historical,0.0799946273638532,0.1721798729377057,0.1673795504496155,1.03144659759849,-146.07028640866722,0.0002718492828274,,1.441684757000106,0.009386881876243,0.4283890422659014,0.5333691669146845,0.5954606455837864,-0.5202405912560861,0.1537646787051189,-0.0264071506650141,-0.3513250613946976,14.630959803524885
MVP,DCC,0.0725987545254802,0.1407737655236192,0.1101864739107163,1.282389449939727,-150.24613077374624,0.0002340489767787,,1.4842315138350037,0.2576977358138863,0.440209004754189,0.5685978303780393,0.6044558093692167,-0.4263623335362934,0.1702747846493349,-0.0212183364974016,-0.6370975848900851,18.93518410723309
MVP,GARCH,0.0706319423614851,0.1421277979801466,0.1099398448624477,1.296543970268747,-149.23432569906765,0.0002333706370677,,1.496633068964696,0.2613599835172594,0.4243808590213954,0.5515496118816746,0.5861128675280133,-0.4181286281015708,0.1689239569224794,-0.0213112734716721,-0.4712797616711277,18.632815586548254
MVP,Historical,0.0740671740344749,0.1431193545267388,0.1363658208034623,1.051368868865869,-146.07028640866722,0.0002718492828274,,1.55057772570705,0.0058354530247462,0.4447438934392809,0.5710174752018683,0.6200780481111663,-0.3975258834145203,0.186320380947978,-0.021343699540113,-0.2645979542214726,17.380038230799915
Naive,,0.0807590762192143,0.1921736399844214,0.1888768613924671,1.0201010253033722,-146.07028640866722,0.0002718492828274,,,0.0060480252448636,0.4065173131965722,0.5005696196617163,0.5665349538052438,-0.572388125746951,0.1410914597744771,-0.0294982674351805,-0.303922936367722,12.45101155212774
