Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Avg Turnover,Ann. Sharpe,Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,DCC,0.15064688899424228,0.1719893715584089,0.15286816707992681,1.1250829707959056,0.09745982923656366,0.7387132694871993,1.0325004791828363,-0.4320591142554623,0.3486719386856164,-0.0248201632816212,-0.8615480890334221,26.15496317757331
ERC,GARCH,0.15090596605686124,0.1721975586676506,0.15945358669862592,1.0799227677023744,0.09725591370092038,0.7393182479536607,1.0333972729916605,-0.43147043445790867,0.34974810324247746,-0.02484622250345946,-0.8659893208589768,26.0421050220994
ERC,Historical,0.15230533420089043,0.1741144389525518,0.1674275997878595,1.0399386909515809,0.05070573705718408,0.7403976085657313,1.0374456889392907,-0.4369596721000619,0.3485569582861028,-0.02512314059034701,-0.7882514933510404,25.783507127954415
HRP,DCC,0.1354655247069272,0.16276003727780172,0.1418999122153906,1.147005905336625,0.21183826535071823,0.6900393669340112,0.9579449698870929,-0.39587056411375054,0.3421965081192603,-0.023369162937821573,-1.0840778334541983,30.53331518131073
HRP,GARCH,0.1359031566898945,0.1627073537723536,0.1480166499409633,1.09925034674984,0.20026267708589143,0.6923943948175366,0.9620758188236048,-0.4024897800419913,0.33765616775590146,-0.02337997956678671,-1.0212638897595585,28.636753278592852
HRP,Historical,0.13854876202767263,0.1656054010588803,0.15756690644782995,1.0510163891153874,0.1052713082129059,0.6975105253861723,0.9735251510270222,-0.4071861361783853,0.34025903565384513,-0.023784832793136455,-0.8773572816965111,28.260087668611558
MVP,DCC,0.10535140544794785,0.15101023587537143,0.12380824369241693,1.2197106700789149,0.5048342924985549,0.5599602342412379,0.7707216837441003,-0.37166600798029925,0.28345719862961527,-0.021616612332069494,-1.161787107450689,31.454317323476555
MVP,GARCH,0.10447549003799805,0.1519029805424402,0.12697369044078596,1.1963342958302057,0.5182378497502078,0.5528557238467163,0.7611541355820245,-0.37611837819247185,0.27777289304521724,-0.021677301774561383,-1.1540257669961496,30.546703253706138
MVP,Historical,0.10544665604266257,0.15242572897875756,0.1381587158691072,1.103265385899845,0.09627850173226873,0.5568563829436917,0.7713226194375323,-0.35866731331759727,0.2939957228533126,-0.02172042165434061,-0.9817904999734529,32.42137458967924
Naive,N/A,0.16505931420946784,0.18603740948193528,0.18167386866131796,1.0240185385645746,0.05147688836027473,0.7650607809695162,1.0778906766875043,-0.4632688726074594,0.3562926930109703,-0.026810360564145375,-0.6372447956105336,21.81486274207712
