"Model","Covariance Type","Ann. Return","Ann. Std","Ann. Std (fcst)","Real / Fcst Std","Avg QLIKE","Avg Cov RMSE","ERC RC RMSE","Avg Turnover","Ann. Sharpe","Ann. Sortino","Max Drawdown","Calmar Ratio","CVaR (95%)","Skewness","Excess Kurtosis"
"ERC","DCC",0.0745753406402874,0.17076512632305,0.143427000488818,1.19060655065685,-161.711704514067,0.000139026487770999,0.0297756071944511,0.0730446982735834,0.506845347529136,0.709026462670083,-0.553895371390373,0.13463795599716,-0.0259820355966963,-0.279876350442588,13.0877564719211
"ERC","GARCH",0.0744710409181872,0.171048637009568,0.147443137698743,1.16009900276984,-160.221590588171,0.000141769232536153,0.0297185260276746,0.0718683307117289,0.505723430014884,0.707421924285273,-0.556327513300265,0.133861869380516,-0.0260298581613637,-0.281936421140867,13.0914293968756
"ERC","Historical",0.0780210769844412,0.172434028279158,0.156880401500193,1.0991432111993,-161.241362765357,0.000173016601320652,0.0296575586123756,0.0175786087073391,0.522170941722734,0.732119009490825,-0.548083547029778,0.142352525280607,-0.0261973615827761,-0.270500247909856,12.7423205427417
"HRP","DCC",0.0698236188666499,0.158873236713025,0.13099563881964,1.21281317564906,-161.711704514067,0.000139026487770999,NA,0.184859715499369,0.504516391741807,0.702914551019672,-0.530398964401485,0.131643580687305,-0.0242522140871169,-0.310371546134936,14.3592745627094
"HRP","GARCH",0.0704796927336027,0.15982606703306,0.13491329813864,1.18465762262234,-160.221590588171,0.000141769232536153,NA,0.172852537128172,0.506282632892883,0.706615562608249,-0.533209180104845,0.132180193746372,-0.0243652087251148,-0.27764275472359,14.5869708876132
"HRP","Historical",0.0779973623008337,0.161543309198875,0.146022434093498,1.10629103124962,-161.241362765357,0.000173016601320652,NA,0.0701424528996572,0.545941612511297,0.764991786015754,-0.513808757733886,0.151802321635846,-0.0245938206909122,-0.274626441591178,13.7843613110409
"MVP","DCC",0.0600439859958959,0.139838295168017,0.104622747992678,1.33659550959036,-161.711704514067,0.000139026487770999,NA,0.482210787688437,0.48705698229746,0.679215624518476,-0.515929500439906,0.116380214631456,-0.0209937913657745,-0.164866513235043,22.1078012962046
"MVP","GARCH",0.0571686588877676,0.141023142230789,0.106230850097254,1.32751589676335,-160.221590588171,0.000141769232536153,NA,0.499740824604201,0.464870140520601,0.64813200877921,-0.528567055815453,0.108157816986096,-0.0211775095850124,-0.125535817393837,23.032989939411
"MVP","Historical",0.0694739784742961,0.132599678648872,0.117992294062299,1.1237994794716,-161.241362765357,0.000173016601320652,NA,0.0668684413392203,0.572951927065665,0.808317369860423,-0.378613673399239,0.18349569324993,-0.019741195167337,-0.0779138844443073,17.7175635420544
"Naive","N/A",0.07988917998789,0.186458048043286,0.171602711586069,1.08656819184216,-161.241362765357,0.000173016601320652,NA,0.0150214538778111,0.505724976421042,0.710152885252574,-0.572388125746951,0.139571693391852,-0.0282035683514804,-0.260760637239634,11.2512112089851
