Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Ann. Sharpe,Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,DCC,0.07478994730089084,0.1710673264582344,0.14502466866333644,1.179573985825501,0.37683994934319304,0.4729726557209948,-0.5487120637435885,0.13630089849061522,-0.026009551718744976,-0.2580300910416356,12.711999534348973
ERC,GARCH,0.07525729392561575,0.17137029180461766,0.14915432565582726,1.148946174045623,0.37901639805787707,0.47591199995674915,-0.5509446159405238,0.13659684067724878,-0.02606333978527018,-0.2604945266783759,12.681488996330557
ERC,Historical,0.07843849507846956,0.17254861139190683,0.15701406449198635,1.09893729552306,0.39473714277049116,0.4967490285065136,-0.5470967558871678,0.14337225405636764,-0.026193675616091656,-0.26882819637401983,12.637229780843075
HRP,DCC,0.07293078049111967,0.1592907397940766,0.13274096773875996,1.200011891638215,0.38157144435278634,0.4715388204105605,-0.519623968884728,0.14035299535479753,-0.0242792206421342,-0.25072654370263114,13.919804006651091
HRP,GARCH,0.07191003106518856,0.1601478654928315,0.13685513573519395,1.1701998951848436,0.37444089378686474,0.46326507333447386,-0.5229756917894974,0.1375016701428888,-0.024407507174577136,-0.24906897654158705,13.744408440409426
HRP,Historical,0.0782475478836695,0.16164083541398602,0.14613526864049645,1.1061042068607985,0.4089641077942447,0.5077226841753815,-0.5126193323722279,0.15264260035134936,-0.024599481225436294,-0.2723934134486914,13.545547472392112
MVP,DCC,0.055919778816093446,0.1394001650315631,0.10680465290223588,1.305188128453202,0.29996717535612505,0.357514017255953,-0.4486464861973144,0.12464107161534743,-0.02105450473020329,-0.2035430940767031,21.575324479634965
MVP,GARCH,0.05320058836177344,0.13987973746732674,0.1086894799390852,1.2869666645357218,0.28098521643470187,0.3351277228430499,-0.45567350628631675,0.11675155045846689,-0.02107150531980823,-0.20993456214191955,21.720328886273574
MVP,Historical,0.06854426442828121,0.13293170375664845,0.11831657118223768,1.123525660255145,0.39728543900191315,0.47131025753412886,-0.37522456326227316,0.1826753127043295,-0.01983924347203153,-0.07559517429057032,17.55493456099543
Naive,N/A,0.08015483744723828,0.18656310873525353,0.17171930133681512,1.0864422769186752,0.3871433500501683,0.49479197784134016,-0.572388125746951,0.14003581458409606,-0.028203568351480385,-0.2605318648015724,11.240250057837503
