Date,Historical,GARCH,DCC
2001-03-08,0.00013753806591335074,0.0001495571413748501,0.00014752556836460185
2001-03-09,0.0005951400266589335,0.0005765559700724061,0.0005774690103280294
2001-03-12,0.00116627340179855,0.0011614384526989925,0.0011608949288597359
2001-03-13,0.0004018263800705907,0.0003700509756145905,0.00037727108444807585
2001-03-14,0.00048431642455310436,0.00048621237081195967,0.0004784221713023801
2001-03-15,0.00017297901210480118,0.00022946176445230886,0.00023700332962287214
2001-03-16,0.0003918969696007073,0.00037781376214102613,0.0003711384380450232
2001-03-19,0.0002615023299450918,0.00023448656355220344,0.00022588829502950573
2001-03-20,0.00042872704718470043,0.00039234602678101275,0.0003922584647624708
2001-03-21,0.00045226082156622343,0.0004707489139302575,0.0004715063924000746
2001-03-22,0.0007482711399453104,0.0007460310593867213,0.0007436301027933793
2001-03-23,0.00019803283256582426,0.00022469577284504278,0.00021916643549165415
2001-03-26,0.00037704419127163665,0.00039334245102236727,0.00038401014660843563
2001-03-27,0.00028571568779952884,0.00028593263145354725,0.0002820568517979909
2001-03-28,0.0005590766040804629,0.0005109618920661041,0.0005144244076712873
2001-03-29,0.00018690758206291115,0.00022869386565933748,0.00022847034513171158
2001-03-30,0.00015193879550678356,0.00021124619511999823,0.0002090028098383068
2001-04-02,0.00029098062625192275,0.0002796183514083557,0.0002799501287191081
2001-04-03,0.0007599762395404347,0.0007197678320710006,0.0007173383615581715
2001-04-04,0.00022586019864925412,0.00026472021428706094,0.0002723587715543851
2001-04-05,0.001491096791002682,0.001420773393189627,0.0014156963114072246
2001-04-06,0.0005781764163878815,0.000509739803420452,0.000504867094754404
2001-04-09,0.0002078082953301118,0.00030543926305531176,0.00031201309043252224
2001-04-10,0.0007486846190254958,0.0006571693698462477,0.0006464278808824391
2001-04-11,0.0004138038423213009,0.0004270700398002575,0.00043825217711190623
2001-04-12,0.00019092787489026887,0.00020701496000132447,0.0002079030490238746
2001-04-13,0.00013366342599048866,0.0002557153114475054,0.0002595212542234972
